"Reporter Name"	"LE_PO_rawData_r1"	"LE_PO_rawData_r2"
"pos-controls-4231"	357.65	228.78
"pos-controls-4232"	413.8	292.27
"pos-controls-4281"	302.12	313.39
"pos-controls-4282"	442.58	265.44
"pos-controls-4283"	289.07	234.71
"pos-controls-4284"	339.57	297.1
"pos-controls-4289"	125.55	88.58
"pos-controls-4290"	147.53	105.98
"pos-controls-4291"	132.49	112.6
"pos-controls-4292"	144.92	87.75
"pos-controls-4293"	154.82	96.32
"pos-controls-4294"	191.39	361.44
"pos-controls-4295"	175.68	106.59
"pos-controls-4296"	132.12	137.28
"pos-controls-4301"	1072.51	1033.35
"pos-controls-4302"	432.2	472.54
"pos-controls-4303"	1047.29	1037.44
"pos-controls-4304"	391.57	834.82
"pos-controls-4349"	452.35	390.8
"pos-controls-4350"	406.65	385.12
"pos-controls-4351"	482.8	485.35
"pos-controls-4352"	344.54	280.69
"pos-controls-4353"	349.67	247.15
"pos-controls-4354"	312.63	291.98
"pos-controls-4355"	398.54	326.72
"pos-controls-4356"	357.28	378.37
"pos-controls-4385"	980.79	1032.03
"pos-controls-4386"	1228.49	1128.4
"pos-controls-4387"	1300	1015.98
"pos-controls-4388"	1203.79	842.32
"pos-controls-4401"	344.36	315.58
"pos-controls-4402"	382.03	363.51
"pos-controls-4403"	370.8	381.93
"pos-controls-4404"	303.23	363.47
"pos-controls-4449"	156.18	118.15
"pos-controls-4450"	134.21	94.92
"pos-controls-4451"	115.72	127.17
"pos-controls-4452"	135.84	127.6
"pos-controls-4609"	90.69	95.04
"pos-controls-4610"	89.22	92.45
"pos-controls-4611"	117.35	112.09
"pos-controls-4612"	108.55	92.86
"pos-controls-4621"	83.38	70.39
"pos-controls-4622"	78.78	66.09
"pos-controls-4623"	74.26	80.2
"pos-controls-4624"	64.38	68.25
"pos-controls-4729"	161.11	106.38
"pos-controls-4730"	102.43	111.54
"pos-controls-4731"	132.19	111.96
"pos-controls-4732"	121.18	136.99
"pos-controls-4757"	104.14	93.24
"pos-controls-4758"	92.8	99.06
"pos-controls-4759"	100.08	95.96
"pos-controls-4760"	117.02	94.6
"pos-controls-4781"	142.14	124.83
"pos-controls-4782"	120.04	112.09
"pos-controls-4783"	134.07	114.51
"pos-controls-4784"	147.04	88.46
"pos-controls-4793"	91.64	1688.44
"pos-controls-4794"	108.73	95.77
"pos-controls-4795"	91.14	83.76
"pos-controls-4796"	96.73	86.55
"pos-controls-4797"	102.41	103.4
"pos-controls-4798"	92.68	71.49
"pos-controls-4799"	86.65	70.21
"pos-controls-4800"	69.2	68.73
"pos-controls-4825"	392.97	344.09
"pos-controls-4826"	391.71	222.29
"pos-controls-4827"	448.86	359.83
"pos-controls-4828"	428.02	312.9
"pos-controls-4845"	146.42	94.68
"pos-controls-4846"	303.33	75.64
