"Reporter Name"	"US_NE_rawData_r1"	"US_NE_rawData_r2"
"pos-controls-3471"	100.58	98.38
"pos-controls-3472"	90.68	87.98
"pos-controls-3473"	117.3	157.52
"pos-controls-3474"	114.1	155.9
"pos-controls-3475"	113.56	159.39
"pos-controls-3476"	129.62	153.43
"pos-controls-3477"	79.72	64.08
"pos-controls-3478"	73.2	65.92
"pos-controls-3479"	62.18	57.52
"pos-controls-3480"	79.97	78.27
"pos-controls-3549"	60.05	56.99
"pos-controls-3550"	88.64	79.77
"pos-controls-3551"	64.44	64.09
"pos-controls-3552"	59.76	57.38
"pos-controls-3605"	60.67	67.22
"pos-controls-3606"	60.09	70.03
"pos-controls-3607"	57.57	52.41
"pos-controls-3608"	82.16	57
"pos-controls-3609"	74.73	89.99
"pos-controls-3610"	76.76	66.94
"pos-controls-3611"	123.81	66.68
"pos-controls-3612"	62.4	73.92
"pos-controls-3761"	82.58	67.15
"pos-controls-3762"	98.9	76.87
"pos-controls-3763"	66.57	67.66
"pos-controls-3764"	84.09	76.9
"pos-controls-3765"	72.85	69.88
"pos-controls-3766"	57.43	53.23
"pos-controls-3767"	64.74	85.25
"pos-controls-3768"	65.57	70.81
"pos-controls-3849"	76.63	94.58
"pos-controls-3850"	91.67	98.06
"pos-controls-3851"	115.9	97.29
"pos-controls-3852"	72.53	88.18
"pos-controls-3901"	68.37	71.12
"pos-controls-3902"	67.65	71.61
"pos-controls-3903"	73.56	69.55
"pos-controls-3904"	103.42	93.81
"pos-controls-4009"	210.14	192.31
"pos-controls-4010"	168.69	244.13
"pos-controls-4011"	170.88	196.4
"pos-controls-4012"	190.8	172.1
"pos-controls-4053"	95.4	91.09
"pos-controls-4054"	95.52	93.05
"pos-controls-4055"	125.41	136.86
"pos-controls-4056"	158.06	103.3
"pos-controls-4057"	72.04	87.56
"pos-controls-4058"	82.49	66.16
"pos-controls-4059"	74.83	72.49
"pos-controls-4060"	92.58	100.5
"pos-controls-4061"	109.69	125.42
"pos-controls-4062"	123.62	106.85
"pos-controls-4063"	94.56	96.94
"pos-controls-4064"	85.7	92.36
"pos-controls-4069"	125.27	136.69
"pos-controls-4070"	137.62	127.17
"pos-controls-4071"	109.36	105.83
"pos-controls-4072"	111.12	147.88
"pos-controls-4121"	116.56	145.24
"pos-controls-4122"	154.89	175.95
"pos-controls-4123"	168.28	179.05
"pos-controls-4124"	132.31	175.78
"pos-controls-4165"	82.59	81.57
"pos-controls-4166"	73.69	67.63
"pos-controls-4167"	81.18	92.67
"pos-controls-4168"	85.46	82.06
"pos-controls-4205"	118.51	179.12
"pos-controls-4206"	148.56	153.24
"pos-controls-4207"	118.49	136.78
"pos-controls-4208"	126.54	150.46
"pos-controls-4209"	77.27	77.88
"pos-controls-4210"	85.22	87.18
"pos-controls-4211"	77.67	103.88
"pos-controls-4212"	81.74	115.68
"pos-controls-4213"	87.78	79.17
"pos-controls-4214"	85.52	88.22
"pos-controls-4215"	100.12	188.08
"pos-controls-4216"	92.29	95.68
"pos-controls-4229"	216.06	217.02
"pos-controls-4230"	272.13	211.8
"pos-controls-4231"	392.53	235.2
"pos-controls-4232"	208.45	236.65
"pos-controls-4281"	134.66	155.84
"pos-controls-4282"	114.35	112.52
"pos-controls-4283"	87.32	72.9
"pos-controls-4284"	93.2	90.41
"pos-controls-4289"	116.44	118.54
"pos-controls-4290"	92.61	111.52
"pos-controls-4291"	74.58	110.76
"pos-controls-4292"	103.87	123.23
"pos-controls-4293"	136.82	155.37
"pos-controls-4294"	145.86	158.68
"pos-controls-4295"	154.6	168.16
"pos-controls-4296"	128.48	166.34
"pos-controls-4301"	359.25	413.89
"pos-controls-4302"	432.89	436.06
"pos-controls-4303"	370.6	357.68
"pos-controls-4304"	439.01	384.44
"pos-controls-4349"	211.15	271.51
"pos-controls-4350"	220.02	210.53
"pos-controls-4351"	242.59	250.24
"pos-controls-4352"	322.3	221.02
"pos-controls-4353"	109.33	105.01
"pos-controls-4354"	88.81	129.36
"pos-controls-4355"	131.37	116.16
"pos-controls-4356"	117.28	125.36
"pos-controls-4385"	66.64	60.95
"pos-controls-4386"	73.5	90.13
"pos-controls-4387"	70.79	68
"pos-controls-4388"	63.46	63.37
"pos-controls-4401"	206.94	190.87
"pos-controls-4402"	196.46	415.3
"pos-controls-4403"	267.64	182.62
"pos-controls-4404"	183.28	158.23
"pos-controls-4449"	86.05	99.92
"pos-controls-4450"	105.62	107.63
"pos-controls-4451"	124.42	117.2
"pos-controls-4452"	128.87	100.28
"pos-controls-4609"	224.81	213.88
"pos-controls-4610"	244.76	290.74
"pos-controls-4611"	281.66	254.14
"pos-controls-4612"	138.12	145.42
"pos-controls-4621"	95.64	71.93
"pos-controls-4622"	49.47	61.54
"pos-controls-4623"	63.3	61.94
"pos-controls-4624"	54.35	51.99
"pos-controls-4729"	89	94.23
"pos-controls-4730"	73.93	66.43
"pos-controls-4731"	69.98	95.28
"pos-controls-4732"	86.82	149.74
"pos-controls-4757"	103.84	132.34
"pos-controls-4758"	122.81	98.75
"pos-controls-4759"	116.63	102.42
"pos-controls-4760"	104.56	101.02
"pos-controls-4781"	85.14	60.12
"pos-controls-4782"	70.18	54.67
"pos-controls-4783"	70.05	83.38
"pos-controls-4784"	68.12	64.96
"pos-controls-4793"	68.42	93
"pos-controls-4794"	84.08	66.41
"pos-controls-4795"	140.55	60.24
