"Reporter Name"	"MX_NE_rawData_r1"	"MX_NE_rawData_r2"
"pos-controls-3304"	217.86	122.87
"pos-controls-3433"	71.2	118.7
"pos-controls-3434"	77.92	108.58
"pos-controls-3435"	76.37	99.75
"pos-controls-3436"	111.15	160.1
"pos-controls-3469"	113.67	87.43
"pos-controls-3470"	104.57	109.24
"pos-controls-3471"	125.07	97.7
"pos-controls-3472"	93.22	148.51
"pos-controls-3473"	132.37	142.32
"pos-controls-3474"	171.84	156.31
"pos-controls-3475"	142.11	150.07
"pos-controls-3476"	158.66	172.25
"pos-controls-3477"	71.93	79.39
"pos-controls-3478"	66.92	93.26
"pos-controls-3479"	65.87	93.06
"pos-controls-3480"	63.35	87.06
"pos-controls-3549"	134.4	200.98
"pos-controls-3550"	123.79	222.57
"pos-controls-3551"	144.52	243.02
"pos-controls-3552"	131.57	191.42
"pos-controls-3605"	63.59	100.77
"pos-controls-3606"	67.51	91.58
"pos-controls-3607"	71.69	79.01
"pos-controls-3608"	67.63	115.74
"pos-controls-3609"	65.21	104.45
"pos-controls-3610"	59.39	77.08
"pos-controls-3611"	55.32	87.48
"pos-controls-3612"	152.23	112.18
"pos-controls-3761"	75.65	167.9
"pos-controls-3762"	67	245.77
"pos-controls-3763"	83.79	187.05
"pos-controls-3764"	83.62	186.79
"pos-controls-3765"	89.67	103.11
"pos-controls-3766"	77.98	122.61
"pos-controls-3767"	75.95	123.38
"pos-controls-3768"	69.52	98.97
"pos-controls-3849"	550.24	209.34
"pos-controls-3850"	526.9	268.58
"pos-controls-3851"	561.08	199.54
"pos-controls-3852"	596.39	238.63
"pos-controls-3901"	365.94	328.39
"pos-controls-3902"	356.01	238.52
"pos-controls-3903"	352.59	299.49
"pos-controls-3904"	407.58	230.15
"pos-controls-4009"	257.71	394.32
"pos-controls-4010"	342.49	392.19
"pos-controls-4011"	246.64	387.37
"pos-controls-4012"	281.08	403.56
"pos-controls-4053"	95.4	124.26
"pos-controls-4054"	118.52	114.26
"pos-controls-4055"	108.17	139.52
"pos-controls-4056"	134.18	138.81
"pos-controls-4057"	82.34	124.03
"pos-controls-4058"	87.19	136.56
"pos-controls-4059"	83.08	133.07
"pos-controls-4060"	88.17	122
"pos-controls-4061"	118.43	174.23
"pos-controls-4062"	125.59	149.52
"pos-controls-4063"	107.93	173.99
"pos-controls-4064"	94.45	202.48
"pos-controls-4069"	217.42	397.46
"pos-controls-4070"	296.75	462.98
"pos-controls-4071"	187.06	355.93
"pos-controls-4072"	216.84	360.55
"pos-controls-4121"	142.27	141.37
"pos-controls-4122"	163.49	151.72
"pos-controls-4123"	155.56	160.02
"pos-controls-4124"	135.89	176.01
"pos-controls-4165"	444.99	487.79
"pos-controls-4166"	377.4	355.58
"pos-controls-4167"	327.11	318.62
"pos-controls-4168"	548.88	540.86
"pos-controls-4205"	279.57	198.98
"pos-controls-4206"	276.93	188.35
"pos-controls-4207"	242.68	247.99
"pos-controls-4208"	320.97	252.16
"pos-controls-4209"	88.68	150.62
"pos-controls-4210"	84.31	117.18
"pos-controls-4211"	83.25	207.35
"pos-controls-4212"	98.02	112.66
"pos-controls-4213"	72.05	129.51
"pos-controls-4214"	93.17	137.63
"pos-controls-4215"	116	137.64
"pos-controls-4216"	100.08	125.11
"pos-controls-4229"	158.97	255.61
"pos-controls-4230"	164	354.08
"pos-controls-4231"	160.8	316.42
"pos-controls-4232"	184.34	360.73
"pos-controls-4281"	131.32	345.97
"pos-controls-4282"	145.92	404.56
"pos-controls-4283"	160.78	250.24
"pos-controls-4284"	138.03	293.19
"pos-controls-4289"	75.48	98.7
"pos-controls-4290"	107.55	100.93
"pos-controls-4291"	97.88	100.1
"pos-controls-4292"	97.42	99.95
"pos-controls-4293"	156.27	157.84
"pos-controls-4294"	165.04	144.71
"pos-controls-4295"	145.37	160.73
"pos-controls-4296"	150.54	160.69
"pos-controls-4301"	285.96	722.48
"pos-controls-4302"	158.37	311.16
"pos-controls-4303"	132.65	343.29
"pos-controls-4304"	173.24	479.92
"pos-controls-4349"	304.01	215.32
"pos-controls-4350"	284.11	119.27
"pos-controls-4351"	360.57	216.5
"pos-controls-4352"	277.22	151.24
"pos-controls-4353"	291.42	112.87
"pos-controls-4354"	376.81	119.35
"pos-controls-4355"	296.72	127.13
"pos-controls-4356"	299.12	106.85
"pos-controls-4385"	66.78	82.38
"pos-controls-4386"	61.86	87.46
"pos-controls-4387"	62.99	81.11
"pos-controls-4388"	55.68	92.2
"pos-controls-4401"	214.03	281.14
"pos-controls-4402"	265.11	346.67
"pos-controls-4403"	270.92	337.55
"pos-controls-4404"	190.4	299.02
"pos-controls-4449"	130.65	142.17
"pos-controls-4450"	110.67	133.63
