"Reporter Name"	"US_PO_rawData_r1"	"US_PO_rawData_r2"
"pos-controls-4064"	81	116.98
"pos-controls-4069"	452.64	376.76
"pos-controls-4070"	333.02	330.03
"pos-controls-4071"	332.4	304.31
"pos-controls-4072"	407.11	265.13
"pos-controls-4121"	3268.05	2034.86
"pos-controls-4122"	3176.63	3175.48
"pos-controls-4123"	4013.92	3767.94
"pos-controls-4124"	3341.52	3096.34
"pos-controls-4165"	257.01	229.45
"pos-controls-4166"	250.73	205.85
"pos-controls-4167"	179.13	236.78
"pos-controls-4168"	297.72	245.48
"pos-controls-4205"	21338.48	20056
"pos-controls-4206"	20973.89	19991.67
"pos-controls-4207"	20784.03	21801.14
"pos-controls-4208"	22804.61	20959.63
"pos-controls-4209"	91.25	134.06
"pos-controls-4210"	178.54	184.82
"pos-controls-4211"	104.52	102.27
"pos-controls-4212"	120.04	117.12
"pos-controls-4213"	96.21	82.33
"pos-controls-4214"	91.13	104.85
"pos-controls-4215"	134.64	144.06
"pos-controls-4216"	102.72	113.62
"pos-controls-4229"	37881.32	38425.46
"pos-controls-4230"	36145.44	39628.04
"pos-controls-4231"	41428.57	39277.81
"pos-controls-4232"	41903.36	40854.08
"pos-controls-4281"	11922.64	11216.38
"pos-controls-4282"	11141.57	10486.42
"pos-controls-4283"	9640.77	10393.94
"pos-controls-4284"	10761.38	11270.44
"pos-controls-4289"	137.07	133.53
"pos-controls-4290"	124.43	150.12
"pos-controls-4291"	145.32	138.04
"pos-controls-4292"	139.84	139.2
"pos-controls-4293"	280.5	188.76
"pos-controls-4294"	223.04	212.68
"pos-controls-4295"	152.04	180.12
"pos-controls-4296"	181.23	163.27
"pos-controls-4301"	9617.37	10994.8
"pos-controls-4302"	11511.48	12281.05
"pos-controls-4303"	10839.13	11370.01
"pos-controls-4304"	10102.17	11065.4
"pos-controls-4349"	17918.1	17306.48
"pos-controls-4350"	18242.07	18216.74
"pos-controls-4351"	17050.62	15929.81
"pos-controls-4352"	20491.36	14378.61
"pos-controls-4353"	14975.99	5537.49
"pos-controls-4354"	16593.18	14565.85
"pos-controls-4355"	15161.06	12503.28
"pos-controls-4356"	11079.64	11099.27
"pos-controls-4385"	98.08	69.51
"pos-controls-4386"	110.16	103.06
"pos-controls-4387"	96.5	101.26
"pos-controls-4388"	116.14	89.07
"pos-controls-4401"	22068.23	18677.11
"pos-controls-4402"	23770.63	22795.47
"pos-controls-4403"	23375.3	23828.14
"pos-controls-4404"	22240.83	18045.97
"pos-controls-4449"	41995.37	38483.19
"pos-controls-4450"	40063.55	42878.93
"pos-controls-4451"	43171.99	41307.72
"pos-controls-4452"	40237.78	39218.78
"pos-controls-4609"	10602.17	10523.03
"pos-controls-4610"	8820.54	9222.34
"pos-controls-4611"	9993.94	9152.29
