"Reporter Name"	"allData.replica1"	"allData.replica2"	"onlyRegionsData.replica1"	"onlyRegionsData.replica2"
"tcruzi-118153"	59.49	88.76	59.49	88.76
"tcruzi-118307"	211.48	1094.02	211.48	1094.02
"tcruzi-118531"	103.32	198.41	103.32	198.41
"tcruzi-118658"	47.7	71.36	47.7	71.36
"tcruzi-118983"	114.84	239.02	114.84	239.02
"tcruzi-120005"	30.31	44.26	30.31	44.26
"tcruzi-120610"	147.43	134.28	147.43	134.28
"tcruzi-120717"	249.54	94.21	249.54	94.21
"tcruzi-120743"	791.09	340.27	791.09	340.27
"tcruzi-120792"	62.29	36.4	62.29	36.4
"tcruzi-120994"	79.35	27.41	79.35	27.41
"tcruzi-121354"	1122.89	443.72	1122.89	443.72
"tcruzi-121736"	67.64	39.16	67.64	39.16
"tcruzi-121803"	43.5	47.42	43.5	47.42
"tcruzi-122078"	72.95	76.19	72.95	76.19
"tcruzi-122200"	130.29	141.8	130.29	141.8
"tcruzi-122576"	28270.68	27288.16	28270.68	27288.16
"tcruzi-122598"	11071	9561.62	11071	9561.62
"tcruzi-122640"	76.27	40.69	76.27	40.69
"tcruzi-122803"	65.07	36.21	65.07	36.21
"tcruzi-122979"	687.9	583.29	687.9	583.29
"tcruzi-123067"	15424.18	14175.96	15424.18	14175.96
"tcruzi-123375"	106.43	68.65	106.43	68.65
"tcruzi-123430"	141.8	295.99	141.8	295.99
"tcruzi-123452"	158.29	294.18	158.29	294.18
"tcruzi-123553"	262.92	54.16	262.92	54.16
"tcruzi-123602"	2900.18	2592.85	2900.18	2592.85
"tcruzi-1239"	8756.68	7203.27	8756.68	7203.27
"tcruzi-123954"	9200.2	9718.07	9200.2	9718.07
"tcruzi-124014"	610.27	286.35	610.27	286.35
"tcruzi-124032"	5692.21	10943.89	5692.21	10943.89
"tcruzi-124048"	356.49	97.11	356.49	97.11
"tcruzi-12409"	2955.19	2483.01	2955.19	2483.01
"tcruzi-124187"	114.18	58.97	114.18	58.97
"tcruzi-124303"	74.84	267.7	74.84	267.7
"tcruzi-124585"	81.18	52.55	81.18	52.55
"tcruzi-124645"	6582.35	5341.1	6582.35	5341.1
"tcruzi-124904"	77.26	199.92	77.26	199.92
"tcruzi-12502"	417.37	297.19	417.37	297.19
"tcruzi-125072"	521.6	581.12	521.6	581.12
"tcruzi-125370"	75.5	137.5	75.5	137.5
"tcruzi-125472"	31.84	226.02	31.84	226.02
"tcruzi-125495"	41.88	42.19	41.88	42.19
"tcruzi-12555"	38.96	77.18	38.96	77.18
"tcruzi-126151"	55.1	145.09	55.1	145.09
"tcruzi-126634"	369.77	852.74	369.77	852.74
"tcruzi-126781"	122.86	41.35	122.86	41.35
"tcruzi-126992"	35.84	243.73	35.84	243.73
"tcruzi-127041"	29.76	32.55	29.76	32.55
"tcruzi-127251"	91.76	146.43	91.76	146.43
