"Reporter Name"	"LE_PO_normalizedData_r1"	"LE_PO_normalizedData_r2"
"pos-controls-4071"	143.49	203.91
"pos-controls-4072"	176.74	208.2
"pos-controls-4121"	145.85	133.48
"pos-controls-4122"	153.98	157.71
"pos-controls-4123"	146.94	165.94
"pos-controls-4124"	132.45	141.88
"pos-controls-4165"	127.25	215.97
"pos-controls-4166"	136	159.01
"pos-controls-4167"	104.36	110.91
"pos-controls-4168"	157.12	99.28
"pos-controls-4205"	682.66	668.13
"pos-controls-4206"	419.87	625.13
"pos-controls-4207"	357.79	580.82
"pos-controls-4208"	592.69	589.01
"pos-controls-4209"	86.42	91.13
"pos-controls-4210"	104.91	91.41
"pos-controls-4211"	106.67	81.83
"pos-controls-4212"	82.4	140.73
"pos-controls-4213"	86.48	85.46
"pos-controls-4214"	93.16	90.79
"pos-controls-4215"	94.24	92.55
"pos-controls-4216"	90.19	92.27
"pos-controls-4229"	301.34	304.86
"pos-controls-4230"	339.25	280.19
"pos-controls-4231"	332.64	243.71
"pos-controls-4232"	410.25	322.98
"pos-controls-4281"	264.82	356.11
"pos-controls-4282"	438.12	286.54
"pos-controls-4283"	253.53	252.54
"pos-controls-4284"	305.66	334.66
"pos-controls-4289"	109.88	89
"pos-controls-4290"	128.39	107.83
"pos-controls-4291"	116.35	114.43
"pos-controls-4292"	126.43	88.06
"pos-controls-4293"	134.72	97.03
"pos-controls-4294"	165.22	417.63
"pos-controls-4295"	152.72	108.57
"pos-controls-4296"	116	141.6
"pos-controls-4301"	1300.58	1606.43
"pos-controls-4302"	426.94	615.91
"pos-controls-4303"	1252.93	1615.92
"pos-controls-4304"	372.93	1204.38
"pos-controls-4349"	459.26	461.3
"pos-controls-4350"	396.42	447.99
"pos-controls-4351"	494.26	640.4
"pos-controls-4352"	315.24	306.92
"pos-controls-4353"	324.77	266.6
"pos-controls-4354"	277.76	322.38
"pos-controls-4355"	383.91	377.67
"pos-controls-4356"	331.99	437.37
"pos-controls-4385"	1111.52	1597.23
"pos-controls-4386"	1528.52	1742.13
"pos-controls-4387"	1658.48	1571.34
"pos-controls-4388"	1516.79	1221.64
"pos-controls-4401"	314.51	361.57
"pos-controls-4402"	365.97	422.53
"pos-controls-4403"	353.19	443.82
"pos-controls-4404"	266.25	421.88
"pos-controls-4449"	136.39	120.95
"pos-controls-4450"	117.66	95.47
"pos-controls-4451"	102.8	131.15
"pos-controls-4452"	119.22	131.45
"pos-controls-4609"	84.02	95.52
"pos-controls-4610"	83.24	92.8
"pos-controls-4611"	104.29	114.01
"pos-controls-4612"	96.61	93.16
"pos-controls-4621"	79.25	73.67
"pos-controls-4622"	75.53	69.24
"pos-controls-4623"	72.14	81.66
"pos-controls-4624"	64.22	71.47
"pos-controls-4729"	141.15	108.37
"pos-controls-4730"	92.04	113.35
"pos-controls-4731"	116.12	113.9
"pos-controls-4732"	106.61	141.22
"pos-controls-4757"	93.57	93.5
"pos-controls-4758"	85.62	99.66
"pos-controls-4759"	90.47	96.46
"pos-controls-4760"	104.08	94.83
"pos-controls-4781"	124.11	128.86
"pos-controls-4782"	105.89	114.01
"pos-controls-4783"	117.48	116.35
"pos-controls-4784"	127.93	88.85
"pos-controls-4793"	84.76	2324.96
"pos-controls-4794"	96.76	96.16
"pos-controls-4795"	84.29	84.49
"pos-controls-4796"	88.55	86.97
"pos-controls-4797"	92	104.36
"pos-controls-4798"	85.56	74.56
"pos-controls-4799"	81.37	73.5
"pos-controls-4800"	68.43	72.12
"pos-controls-4825"	375.62	397.21
"pos-controls-4826"	374.09	235.45
"pos-controls-4827"	456.79	415.86
"pos-controls-4828"	423.23	354.35
"pos-controls-4845"	127.59	95.03
"pos-controls-4846"	266.6	78.25
"pos-controls-4847"	80.14	107.37
"pos-controls-4848"	105.2	74.13
"pos-controls-4849"	107.44	87.92
"pos-controls-4850"	117.12	131.23
"pos-controls-4851"	102.33	114.75
"pos-controls-4852"	112.99	116.6
"pos-controls-4861"	99.69	95.9
"pos-controls-4862"	123.5	111.22
"pos-controls-4863"	94.87	117.33
"pos-controls-4864"	102.74	89.5
"pos-controls-4865"	117.45	88.42
"pos-controls-4866"	121.62	120.3
"pos-controls-4867"	107.68	90.68
"pos-controls-4868"	93.64	100.06
"pos-controls-4885"	135.58	181.48
"pos-controls-4886"	145.78	153.65
"pos-controls-4887"	159.65	241.73
"pos-controls-4888"	160.49	167.22
"pos-controls-4893"	72.9	83.44
"pos-controls-4894"	75.16	80.01
"pos-controls-4895"	71.24	78.63
"pos-controls-4896"	62.43	72.55
"pos-controls-4897"	74.45	69.79
"pos-controls-4898"	70.09	67.36
"pos-controls-4899"	66.3	57.29
"pos-controls-4900"	58.08	72
"pos-controls-4917"	101.77	89.45
"pos-controls-4918"	132.94	79.87
"pos-controls-4919"	105.03	96.54
"pos-controls-4920"	93.39	94.41
"pos-controls-4921"	193.92	84.12
"pos-controls-4922"	115.93	88.16
"pos-controls-4923"	86.66	105.78
"pos-controls-4924"	96.05	96.05
"pos-controls-4925"	106.04	105.32
"pos-controls-4926"	118.15	105.5
"pos-controls-4927"	131.51	122.61
"pos-controls-4928"	124.62	86.11
"pos-controls-4929"	136.98	146.18
"pos-controls-4930"	156.11	151.09
"pos-controls-4931"	146.36	148.23
"pos-controls-4932"	142.5	95.12
"pos-controls-4949"	125.86	108.21
"pos-controls-4950"	123.09	118.08
"pos-controls-4951"	107.9	110.78
"pos-controls-4952"	103.3	159.58
"pos-controls-4953"	82.43	71.66
"pos-controls-4954"	84.51	77.38
"pos-controls-4955"	79.25	76.77
"pos-controls-4956"	77.7	75.14
"pos-controls-5049"	100.3	141.06
"pos-controls-5050"	155.39	105.65
"pos-controls-5051"	153.49	125.26
"pos-controls-5052"	120.3	124.3
"pos-controls-5057"	102.26	104.24
"pos-controls-5058"	116.73	115.6
