"Reporter Name"	"US_NE_normalizedData_r1"	"US_NE_normalizedData_r2"
"pos-controls-3763"	79.48	85.22
"pos-controls-3764"	101.96	98.02
"pos-controls-3765"	87.31	88.24
"pos-controls-3766"	69.47	67.1
"pos-controls-3767"	77.88	109.64
"pos-controls-3768"	78.72	89.45
"pos-controls-3849"	92.3	123.27
"pos-controls-3850"	112.67	128.94
"pos-controls-3851"	146.87	128.05
"pos-controls-3852"	86.77	114.11
"pos-controls-3901"	81.32	89.95
"pos-controls-3902"	80.62	90.65
"pos-controls-3903"	88.46	87.68
"pos-controls-3904"	131.15	121.87
"pos-controls-4009"	269.23	265.61
"pos-controls-4010"	218.3	326.24
"pos-controls-4011"	223.37	271.27
"pos-controls-4012"	247.61	235.13
"pos-controls-4053"	119.09	118.08
"pos-controls-4054"	119.55	120.45
"pos-controls-4055"	158.69	180.33
"pos-controls-4056"	203.91	136.79
"pos-controls-4057"	86.09	112.95
"pos-controls-4058"	99.13	83
"pos-controls-4059"	89.73	91.87
"pos-controls-4060"	114.21	132.83
"pos-controls-4061"	139.88	165.52
"pos-controls-4062"	156.33	142.29
"pos-controls-4063"	118.08	127.42
"pos-controls-4064"	104.61	119.71
"pos-controls-4069"	158.15	180.08
"pos-controls-4070"	176.93	167.82
"pos-controls-4071"	139.61	140.92
"pos-controls-4072"	141.5	196.21
"pos-controls-4121"	147.72	191.51
"pos-controls-4122"	200.6	242.41
"pos-controls-4123"	217.42	248.27
"pos-controls-4124"	168.69	242.08
"pos-controls-4165"	99.31	104.01
"pos-controls-4166"	88.55	85.17
"pos-controls-4167"	97.52	120.01
"pos-controls-4168"	104.17	104.91
"pos-controls-4205"	149.87	249.24
"pos-controls-4206"	191.02	207.62
"pos-controls-4207"	149.74	180.2
"pos-controls-4208"	160.11	202.18
"pos-controls-4209"	92.98	99.41
"pos-controls-4210"	103.72	112.52
"pos-controls-4211"	93.5	137.7
"pos-controls-4212"	97.89	153.28
"pos-controls-4213"	107.03	101.28
"pos-controls-4214"	104.27	114.19
"pos-controls-4215"	125.3	260.14
"pos-controls-4216"	113.72	125.11
"pos-controls-4229"	279.28	298.21
"pos-controls-4230"	340.8	293.44
"pos-controls-4231"	448.75	315.85
"pos-controls-4232"	267.56	317.11
"pos-controls-4281"	171.64	211.85
"pos-controls-4282"	145.1	149.87
"pos-controls-4283"	106.57	92.4
"pos-controls-4284"	115.08	117.29
"pos-controls-4289"	147.55	156.67
"pos-controls-4290"	114.36	148.04
"pos-controls-4291"	89.24	147.11
"pos-controls-4292"	132.19	163.29
"pos-controls-4293"	175.32	211.19
"pos-controls-4294"	187.8	216.81
"pos-controls-4295"	199.96	229.46
"pos-controls-4296"	163.08	226.14
"pos-controls-4301"	412.27	502.61
"pos-controls-4302"	499.56	533.96
"pos-controls-4303"	425.79	437.37
"pos-controls-4304"	504.84	464.12
"pos-controls-4349"	270.77	351.41
"pos-controls-4350"	283.73	292.02
"pos-controls-4351"	307.55	333.24
"pos-controls-4352"	379.49	300.45
"pos-controls-4353"	139.5	139.98
"pos-controls-4354"	108.47	171.38
"pos-controls-4355"	167.51	153.9
"pos-controls-4356"	148.77	165.29
"pos-controls-4385"	79.54	76.38
"pos-controls-4386"	88.37	117.06
"pos-controls-4387"	84.43	85.5
"pos-controls-4388"	76.23	79.71
"pos-controls-4401"	266.25	264.12
"pos-controls-4402"	252.14	504.84
"pos-controls-4403"	333.96	252.74
"pos-controls-4404"	236.79	215.79
"pos-controls-4449"	105.08	132.23
"pos-controls-4450"	135.23	143.41
"pos-controls-4451"	157.53	155.31
"pos-controls-4452"	163.49	132.5
"pos-controls-4609"	289.29	295.05
"pos-controls-4610"	309.81	367.98
"pos-controls-4611"	346.09	336.76
"pos-controls-4612"	177.58	191.86
"pos-controls-4621"	119.71	91.18
"pos-controls-4622"	59.84	77.08
"pos-controls-4623"	75.91	77.73
"pos-controls-4624"	65.59	65.62
"pos-controls-4729"	108.73	122.71
"pos-controls-4730"	88.75	83.45
"pos-controls-4731"	83.5	124.38
"pos-controls-4732"	105.98	200.22
"pos-controls-4757"	132.1	175.13
"pos-controls-4758"	154.93	129.72
"pos-controls-4759"	147.78	135.67
"pos-controls-4760"	133.77	133.96
"pos-controls-4781"	103.63	75.49
"pos-controls-4782"	83.81	68.81
"pos-controls-4783"	83.68	106.72
"pos-controls-4784"	81.03	81.69
"pos-controls-4793"	81.49	120.3
"pos-controls-4794"	101.84	83.4
"pos-controls-4795"	181.63	75.59
"pos-controls-4796"	93.06	76.34
"pos-controls-4797"	127.36	145.54
"pos-controls-4798"	148.23	115.5
"pos-controls-4799"	126.67	119.19
"pos-controls-4800"	142.7	169.7
"pos-controls-4825"	1049.82	1014.84
"pos-controls-4826"	1079.56	1182.87
"pos-controls-4827"	1093	1123.25
"pos-controls-4828"	1073.91	1188.3
"pos-controls-4845"	326.24	204.01
"pos-controls-4846"	186.82	225.15
"pos-controls-4847"	250.23	196.51
"pos-controls-4848"	180.71	163.95
"pos-controls-4849"	77.38	66.45
"pos-controls-4850"	77.23	74.07
