"Reporter Name"	"US_PO_normalizedData_r1"	"US_PO_normalizedData_r2"
"pos-controls-3761"	15562.39	13629.13
"pos-controls-3762"	16785.52	13910.44
"pos-controls-3763"	15631.07	15562.39
"pos-controls-3764"	14933.59	14250.14
"pos-controls-3765"	224.46	229.12
"pos-controls-3766"	257.75	276.77
"pos-controls-3767"	176.54	175.27
"pos-controls-3768"	235.6	212.34
"pos-controls-3849"	246.88	256.66
"pos-controls-3850"	204.84	175.91
"pos-controls-3851"	265.46	231.63
"pos-controls-3852"	210.38	227.12
"pos-controls-3901"	318.81	226.41
"pos-controls-3902"	318.3	516.71
"pos-controls-3903"	348.21	418.48
"pos-controls-3904"	455.62	230.58
"pos-controls-4009"	36193.81	38548.33
"pos-controls-4010"	41660.24	41498.33
"pos-controls-4011"	39232.53	36371.32
"pos-controls-4012"	40949.59	37618.92
"pos-controls-4053"	202.51	167.35
"pos-controls-4054"	188.79	205.51
"pos-controls-4055"	211.32	185.51
"pos-controls-4056"	214.67	200.31
"pos-controls-4057"	175.91	167.96
"pos-controls-4058"	128.67	131.12
"pos-controls-4059"	144	124.77
"pos-controls-4060"	253.26	241.12
"pos-controls-4061"	167.11	153.26
"pos-controls-4062"	192.33	190.58
"pos-controls-4063"	184.45	199.57
"pos-controls-4064"	124.91	185.09
"pos-controls-4069"	743.84	634.3
"pos-controls-4070"	570.69	570.69
"pos-controls-4071"	569.42	517.51
"pos-controls-4072"	663.76	459.2
"pos-controls-4121"	4339.64	3020.7
"pos-controls-4122"	4204.77	4390.31
"pos-controls-4123"	5037.42	5037.42
"pos-controls-4124"	4390.31	4204.77
"pos-controls-4165"	438.59	388.1
"pos-controls-4166"	425.13	341.94
"pos-controls-4167"	301.44	397.99
"pos-controls-4168"	511.61	419.89
"pos-controls-4205"	22457.36	22102.13
"pos-controls-4206"	22261.69	21947.33
"pos-controls-4207"	22172.61	22894.16
"pos-controls-4208"	23726.08	22621.78
"pos-controls-4209"	142.3	208.48
"pos-controls-4210"	300.18	304.98
"pos-controls-4211"	166.83	160.58
"pos-controls-4212"	189.96	185.77
"pos-controls-4213"	151.79	125.03
"pos-controls-4214"	141.9	164.71
"pos-controls-4215"	215.83	224.83
"pos-controls-4216"	163.45	179.48
"pos-controls-4229"	37115.14	38272.81
"pos-controls-4230"	34411.59	40334.99
"pos-controls-4231"	41923.58	39843.92
"pos-controls-4232"	42676.54	42225.46
"pos-controls-4281"	16410.5	16160.25
"pos-controls-4282"	15350.31	15020.26
"pos-controls-4283"	13770.17	14812.39
"pos-controls-4284"	15020.26	16257.22
"pos-controls-4289"	219.58	207.9
"pos-controls-4290"	197.17	235.44
"pos-controls-4291"	234.92	215.59
"pos-controls-4292"	222.89	217.56
"pos-controls-4293"	479.47	312.39
"pos-controls-4294"	373.1	355.2
"pos-controls-4295"	245.94	294.68
"pos-controls-4296"	306.63	260.57
"pos-controls-4301"	13698.2	15631.07
"pos-controls-4302"	15853.29	17084.54
"pos-controls-4303"	15221.86	16327.77
"pos-controls-4304"	14353.89	15853.29
"pos-controls-4349"	20508.69	20092.68
"pos-controls-4350"	20604.89	20694.42
"pos-controls-4351"	19969.46	19543.6
"pos-controls-4352"	22041.03	18743.47
"pos-controls-4353"	18634.22	7316.3
"pos-controls-4354"	19543.6	18876.69
"pos-controls-4355"	18938.33	17457.78
"pos-controls-4356"	15303.31	15939.21
"pos-controls-4385"	154.89	101.1
"pos-controls-4386"	175.12	161.93
"pos-controls-4387"	152.1	158.5
"pos-controls-4388"	183.36	137.84
"pos-controls-4401"	23005.74	21007.42
"pos-controls-4402"	24407.89	23326.25
"pos-controls-4403"	24140.05	23914.64
"pos-controls-4404"	23192.52	20604.89
"pos-controls-4449"	42948.19	38337.1
"pos-controls-4450"	40262.09	44866.13
"pos-controls-4451"	44950.42	42766.89
"pos-controls-4452"	40515.42	39544.5
"pos-controls-4609"	14864.06	15090.79
"pos-controls-4610"	12831.07	13336.31
"pos-controls-4611"	14183.84	13248.06
"pos-controls-4612"	14120.75	13591.59
"pos-controls-4621"	143.66	143.66
"pos-controls-4622"	95.42	109.41
"pos-controls-4623"	128.79	242.97
"pos-controls-4624"	130.86	108.21
"pos-controls-4729"	6085.76	6799.8
"pos-controls-4730"	6479.33	7696.19
"pos-controls-4731"	7003.01	8138.43
"pos-controls-4732"	5980.13	7526.76
"pos-controls-4757"	109.9	102.96
"pos-controls-4758"	108.16	118.47
"pos-controls-4759"	109.16	121.33
"pos-controls-4760"	107.37	115.14
"pos-controls-4781"	110.77	147.51
"pos-controls-4782"	106.35	116.16
"pos-controls-4783"	82.03	88.77
"pos-controls-4784"	85.57	84.13
"pos-controls-4793"	9855.1	9335.69
"pos-controls-4794"	11362.79	10475.48
"pos-controls-4795"	12521.91	11261.19
"pos-controls-4796"	12112.23	11220.55
"pos-controls-4797"	123.37	146.81
"pos-controls-4798"	177.06	150.76
"pos-controls-4799"	138.3	144.82
"pos-controls-4800"	277.06	267.09
"pos-controls-4825"	32920.8	31182.84
"pos-controls-4826"	26741.47	26203.46
"pos-controls-4827"	30012.8	29058.04
"pos-controls-4828"	32524.15	31028.78
"pos-controls-4845"	183.48	172.29
"pos-controls-4846"	148.17	144
