"Reporter Name"	"BR_PO_normalizedData_r1"	"BR_PO_normalizedData_r2"
"pos-controls-5314"	6000.86	6154.62
"pos-controls-5315"	6520.07	6201.5
"pos-controls-5316"	6085.76	6555.31
"pos-controls-537"	919.84	1179.44
"pos-controls-538"	1068.94	1302.96
"pos-controls-539"	879.11	1080.22
"pos-controls-540"	1075.79	1107.18
"pos-controls-5401"	10157.54	10802.25
"pos-controls-5402"	10802.25	10403.06
"pos-controls-5403"	10403.06	9674.54
"pos-controls-5404"	9270.05	11823.48
"pos-controls-541"	9944.39	14250.14
"pos-controls-542"	15350.31	13910.44
"pos-controls-543"	13443.19	13248.06
"pos-controls-544"	11058.63	11446.46
"pos-controls-5465"	1929.53	2253.01
"pos-controls-5466"	2026.98	2313.79
"pos-controls-5467"	1919.92	2450.17
"pos-controls-5468"	2130.73	2270.59
"pos-controls-5469"	19969.46	24014.51
"pos-controls-5470"	18351.86	19600.45
"pos-controls-5471"	21392.89	20783.63
"pos-controls-5472"	23482.92	24767.73
"pos-controls-5481"	1895.68	2362.29
"pos-controls-5482"	2243.56	2597.74
"pos-controls-5483"	1636.87	2243.56
"pos-controls-5484"	2362.29	2466.45
"pos-controls-5485"	22041.03	20694.42
"pos-controls-5486"	22363.58	23555.17
"pos-controls-5487"	22172.61	26203.46
"pos-controls-5488"	22621.78	23770.87
"pos-controls-5549"	34040.84	32740.42
"pos-controls-5550"	32354.03	35217.13
"pos-controls-5551"	34506.11	34567.73
"pos-controls-5552"	33050.67	34411.59
"pos-controls-5565"	41567.62	41660.24
"pos-controls-5566"	41401.34	39927.47
"pos-controls-5567"	40334.99	39843.92
"pos-controls-5568"	40883.76	42080
"pos-controls-5577"	122.04	148.3
"pos-controls-5578"	143.66	153.26
"pos-controls-5579"	157.17	155.09
"pos-controls-5580"	146.26	145.48
"pos-controls-5581"	171.98	170.64
"pos-controls-5582"	242.97	233.49
"pos-controls-5583"	165.6	156.35
"pos-controls-5584"	191.3	192.36
"pos-controls-5613"	2075.04	2188.31
"pos-controls-5614"	1860.87	2165.1
"pos-controls-5615"	2037.6	2234.29
"pos-controls-5616"	2174.18	2119.49
"pos-controls-5617"	14864.06	17714.22
"pos-controls-5618"	15090.79	16648.92
"pos-controls-5619"	16257.22	13540
"pos-controls-5620"	16410.5	18178.6
"pos-controls-5753"	196.38	234.92
"pos-controls-5754"	233.49	251.77
"pos-controls-5755"	205.8	244.15
"pos-controls-5756"	259.47	233.18
"pos-controls-5781"	253.87	80.82
"pos-controls-5782"	78.93	84.6
"pos-controls-5783"	86.29	82.21
"pos-controls-5784"	80.09	93.05
"pos-controls-5785"	64.42	68.05
"pos-controls-5786"	57.93	72.57
"pos-controls-5787"	89.57	73.98
"pos-controls-5788"	82.04	77.69
"pos-controls-5845"	93.7	76.1
"pos-controls-5846"	88.15	108.93
"pos-controls-5847"	144.4	84.17
"pos-controls-5848"	117.04	135.68
"pos-controls-5869"	239.51	310.79
"pos-controls-5870"	216.79	269.2
"pos-controls-5871"	253.26	281.99
"pos-controls-5872"	220.68	278.12
"pos-controls-5925"	31378.91	33205.87
"pos-controls-5926"	25500.52	26054.09
"pos-controls-5927"	27679.12	31926.05
"pos-controls-5928"	26863.44	31843.75
"pos-controls-5965"	88.9	105.41
"pos-controls-5966"	77.53	89.57
"pos-controls-5967"	115.24	92.32
"pos-controls-5968"	76.99	121.46
"pos-controls-5969"	111.1	81.31
"pos-controls-5970"	94.99	87.12
"pos-controls-5971"	107.8	83
"pos-controls-5972"	119.75	100.54
"pos-controls-5993"	153.37	157.72
"pos-controls-5994"	160.58	197.23
"pos-controls-5995"	163.6	140.68
"pos-controls-5996"	151.96	147.51
"pos-controls-5997"	272.67	259.47
"pos-controls-5998"	204	192.14
"pos-controls-5999"	170.21	163.02
"pos-controls-6000"	190.58	187.56
"pos-controls-6029"	292.15	209.92
"pos-controls-6030"	214.88	201.67
"pos-controls-6031"	225.45	189.38
"pos-controls-6032"	225.08	210.06
"pos-controls-6097"	37915.57	35953.05
"pos-controls-6098"	40515.42	43171.16
"pos-controls-6099"	39232.53	38606.08
"pos-controls-6100"	39738.19	40825.51
"pos-controls-6109"	199.36	130.61
"pos-controls-6110"	102.71	101.48
"pos-controls-6111"	104.92	100.94
"pos-controls-6112"	83.34	96.33
"pos-controls-613"	5768.38	5768.38
"pos-controls-614"	5620.53	5830.3
"pos-controls-6149"	207.26	234.11
"pos-controls-615"	5426.89	5641.73
"pos-controls-6150"	185.15	246.41
"pos-controls-6151"	185.29	190.76
"pos-controls-6152"	222.77	304.01
"pos-controls-616"	5200.54	6000.86
"pos-controls-6221"	7572.01	6849.22
"pos-controls-6222"	7886.76	6760.08
"pos-controls-6223"	7845.11	7845.11
"pos-controls-6224"	7358.72	7264.3
"pos-controls-6225"	30741.82	30338.55
"pos-controls-6226"	29304.28	32253.6
"pos-controls-6227"	24014.51	33050.67
"pos-controls-6228"	31734.54	29585.31
"pos-controls-6249"	35889.09	35475.04
"pos-controls-6250"	37044.48	37564.29
"pos-controls-6251"	38606.08	40262.09
"pos-controls-6252"	36133.79	36886.26
"pos-controls-6273"	26054.09	20508.69
"pos-controls-6274"	26203.46	22621.78
"pos-controls-6275"	27208.39	21137.2
"pos-controls-6276"	27922.99	23482.92
"pos-controls-6333"	212.92	262.97
"pos-controls-6334"	190.9	383.5
"pos-controls-6335"	259.74	244.92
"pos-controls-6336"	292.55	222.77
"pos-controls-6341"	102.86	99.04
"pos-controls-6342"	108.75	110.85
"pos-controls-6343"	125.65	136.19
"pos-controls-6344"	128.79	95.6
"pos-controls-6345"	184.45	174.03
"pos-controls-6346"	196.65	197.11
"pos-controls-6347"	192.14	161.49
"pos-controls-6348"	171.15	190.28
"pos-controls-6457"	11754.5	9481.03
"pos-controls-6458"	17457.78	12937.94
"pos-controls-6459"	15853.29	12369.36
"pos-controls-6460"	16466.12	12521.91
"pos-controls-6461"	131.35	133.4
"pos-controls-6462"	111.16	115.79
"pos-controls-6463"	146.99	125.03
"pos-controls-6464"	130.86	132.15
"pos-controls-6465"	4866.86	5200.54
"pos-controls-6466"	4809.72	4924.46
"pos-controls-6467"	5115.87	4727.39
"pos-controls-6468"	4339.64	4809.72
"pos-controls-6469"	95.74	103.7
"pos-controls-6470"	112.06	115.6
"pos-controls-6471"	124.88	94.99
"pos-controls-6472"	87.21	98.23
"pos-controls-6509"	23136.86	22041.03
"pos-controls-6510"	26663.28	21477.72
"pos-controls-6511"	25940.49	27823.91
"pos-controls-6512"	25249.07	24850.07
"pos-controls-6529"	24298.46	26450.76
"pos-controls-6530"	25748.37	23280.32
"pos-controls-6531"	25431.11	27864.35
"pos-controls-6532"	30172.98	24615.68
"pos-controls-705"	138.14	130.95
"pos-controls-706"	145.71	164.17
"pos-controls-707"	146.75	139.39
"pos-controls-708"	172.17	171.66
"pos-controls-773"	34567.73	32920.8
"pos-controls-774"	30468.94	31320.2
"pos-controls-775"	33661.87	34040.84
"pos-controls-776"	33395.08	35038.88
"pos-controls-777"	33342.12	35385.97
"pos-controls-778"	36716.45	35628.13
"pos-controls-779"	38101.72	38272.81
"pos-controls-780"	37956.77	37915.57
"pos-controls-813"	90.28	103.64
"pos-controls-814"	118.5	98.08
"pos-controls-815"	123.92	118.5
"pos-controls-816"	141.06	124.77
"pos-controls-829"	10855.65	11593.62
"pos-controls-830"	11823.48	13829.83
"pos-controls-831"	10290.45	11332.39
"pos-controls-832"	9481.03	12735.84
"pos-controls-893"	96.79	65.48
"pos-controls-894"	77.09	91.24
"pos-controls-895"	102.15	122.37
"pos-controls-896"	198.17	96.18
"pos-controls-949"	26913.37	27038.42
"pos-controls-950"	26146.52	25431.11
"pos-controls-951"	26500.95	26500.95
"pos-controls-952"	23914.64	23192.52
"pos-controls-953"	26450.76	27679.12
"pos-controls-954"	29407.38	30012.8
"pos-controls-955"	23612.35	22534.95
"pos-controls-956"	24686.41	31133.34
"tcruzi-1000738"	127.34	214.67
"tcruzi-1001695"	4727.39	4751.74
"tcruzi-1001711"	110.6	99.98
"tcruzi-100230"	145.27	226.64
"tcruzi-1004100"	201.43	236.86
"tcruzi-100430"	179.28	175.27
"tcruzi-1005046"	337.26	221.06
"tcruzi-1005067"	347.51	424.35
"tcruzi-1005305"	309.99	382.79
"tcruzi-1005482"	100.09	122.98
"tcruzi-1007326"	99.98	126.62
"tcruzi-1007826"	936.78	709.97
"tcruzi-1007853"	126.62	113.44
"tcruzi-1008370"	75.14	82.28
