"Reporter Name"	"CO_PO_normalizedData_r1"	"CO_PO_normalizedData_r2"
"pos-controls-4622"	92.72	111.71
"pos-controls-4623"	137.78	125.21
"pos-controls-4624"	105.2	103.93
"pos-controls-4729"	5796.58	8337.39
"pos-controls-4730"	5115.87	7696.19
"pos-controls-4731"	5707.91	8649.07
"pos-controls-4732"	6295.02	8735.99
"pos-controls-4757"	110.4	109.81
"pos-controls-4758"	103.47	124
"pos-controls-4759"	109.48	122.32
"pos-controls-4760"	108.45	207.8
"pos-controls-4781"	115.02	75.46
"pos-controls-4782"	91.74	101.54
"pos-controls-4783"	84.78	95.49
"pos-controls-4784"	80.03	83.81
"pos-controls-4793"	9690.16	13164.31
"pos-controls-4794"	10157.54	13405.49
"pos-controls-4795"	10579.5	14120.75
"pos-controls-4796"	10290.45	14353.89
"pos-controls-4797"	205.51	264.06
"pos-controls-4798"	211.1	264.45
"pos-controls-4799"	190.2	256.09
"pos-controls-4800"	264.45	365.68
"pos-controls-4825"	35628.13	42552.72
"pos-controls-4826"	40825.51	42080
"pos-controls-4827"	34643.34	44462.95
"pos-controls-4828"	37275.98	41401.34
"pos-controls-4845"	197.11	160.71
"pos-controls-4846"	129.28	111.67
"pos-controls-4847"	133.33	80.66
"pos-controls-4848"	122.98	103.13
"pos-controls-4849"	65.66	85.48
"pos-controls-4850"	84.37	78.59
"pos-controls-4851"	70.95	101.48
"pos-controls-4852"	87.93	92.2
"pos-controls-4861"	229.75	227.83
"pos-controls-4862"	140.96	176.22
"pos-controls-4863"	173.19	167.11
"pos-controls-4864"	165.32	154.84
"pos-controls-4865"	207.49	233.49
"pos-controls-4866"	213.31	271.25
"pos-controls-4867"	194.64	220.78
"pos-controls-4868"	198.38	226.41
"pos-controls-4885"	1333.88	2188.31
"pos-controls-4886"	1348.09	3240.82
"pos-controls-4887"	1367.39	2553.66
"pos-controls-4888"	1155.64	1715.17
"pos-controls-4893"	132.87	157.54
"pos-controls-4894"	117.04	197.54
"pos-controls-4895"	170.21	163.81
"pos-controls-4896"	156.86	156.96
"pos-controls-4897"	82.34	124.95
"pos-controls-4898"	69.43	120.53
"pos-controls-4899"	89.84	100.9
"pos-controls-4900"	87.54	122.79
"pos-controls-4917"	76.03	132.74
"pos-controls-4918"	67.58	97.62
"pos-controls-4919"	99.89	97.89
"pos-controls-4920"	90.46	73.51
"pos-controls-4921"	67.34	80.71
"pos-controls-4922"	70.44	74.83
"pos-controls-4923"	77.86	97.45
"pos-controls-4924"	83.63	69.73
"pos-controls-4925"	198.68	222.29
