"Reporter Name"	"MX_NE_normalizedData_r1"	"MX_NE_normalizedData_r2"
"pos-controls-4795"	82.4	113.58
"pos-controls-4796"	65.28	93.39
"pos-controls-4797"	110.12	90.58
"pos-controls-4798"	100.39	90.27
"pos-controls-4799"	106.59	92.27
"pos-controls-4800"	107.86	111.91
"pos-controls-4825"	149.74	146.78
"pos-controls-4826"	128.05	157.83
"pos-controls-4827"	125.7	121.57
"pos-controls-4828"	193.13	131.51
"pos-controls-4845"	78.37	78.49
"pos-controls-4846"	83.24	65.32
"pos-controls-4847"	98.15	90.32
"pos-controls-4848"	75.79	68.21
"pos-controls-4849"	55.89	65.19
"pos-controls-4850"	70.37	59.26
"pos-controls-4851"	71.68	80.78
"pos-controls-4852"	81.6	68.73
"pos-controls-4861"	129.04	76
"pos-controls-4862"	100.78	80.75
"pos-controls-4863"	115.78	75.75
"pos-controls-4864"	117.89	77.48
"pos-controls-4865"	158.62	116.48
"pos-controls-4866"	170.44	138.72
"pos-controls-4867"	166.24	122.23
"pos-controls-4868"	131.83	107.54
"pos-controls-4885"	142.23	215.57
"pos-controls-4886"	142.03	231.57
"pos-controls-4887"	147.72	227.84
"pos-controls-4888"	180.2	189.21
"pos-controls-4893"	86.44	96.85
"pos-controls-4894"	66.78	106.91
"pos-controls-4895"	79.25	75.26
"pos-controls-4896"	66.28	60.78
"pos-controls-4897"	81.17	87.25
"pos-controls-4898"	85.13	101.65
"pos-controls-4899"	72.85	103.67
"pos-controls-4900"	74.6	57.41
"pos-controls-4917"	82.87	66.11
"pos-controls-4918"	87.18	73.67
"pos-controls-4919"	81.09	51.9
"pos-controls-4920"	79.64	58.44
"pos-controls-4921"	65.52	60.26
"pos-controls-4922"	69.87	76.99
"pos-controls-4923"	66.53	56.75
"pos-controls-4924"	60.83	57.9
"pos-controls-4925"	141.72	80.14
"pos-controls-4926"	139.78	93.15
"pos-controls-4927"	179.95	86.26
"pos-controls-4928"	129.21	87.96
"pos-controls-4929"	247.07	164.39
"pos-controls-4930"	242.99	193.13
"pos-controls-4931"	239.44	138.51
"pos-controls-4932"	212.56	158.2
"pos-controls-4949"	94.74	81.75
"pos-controls-4950"	103.01	78.35
"pos-controls-4951"	87.14	85.26
"pos-controls-4952"	85.51	74.15
"pos-controls-4953"	109.64	87.62
"pos-controls-4954"	87.63	68.88
"pos-controls-4955"	79.76	85.8
"pos-controls-4956"	87.96	104.46
"pos-controls-5049"	184.01	105.41
"pos-controls-5050"	155.5	113.9
"pos-controls-5051"	159.93	102.08
"pos-controls-5052"	157.12	100.98
"pos-controls-5057"	69.95	60.88
"pos-controls-5058"	72.6	69.91
"pos-controls-5059"	63.83	73.26
"pos-controls-5060"	78.43	69.01
"pos-controls-5089"	195.11	118.51
"pos-controls-5090"	109.16	110.45
"pos-controls-5091"	92.8	215.03
"pos-controls-5092"	114.05	119.42
"pos-controls-5101"	92.57	91.41
"pos-controls-5102"	1537.28	88.08
"pos-controls-5103"	125.53	74.23
"pos-controls-5104"	156.53	94.13
"pos-controls-5149"	256.14	185.44
"pos-controls-5150"	288.66	239.72
"pos-controls-5151"	273.34	215.97
"pos-controls-5152"	221.6	151.54
"pos-controls-5257"	114.19	158.62
"pos-controls-5258"	125.75	177.58
"pos-controls-5259"	141.34	258.29
"pos-controls-5260"	146.78	176.3
"pos-controls-5261"	145.69	94.16
"pos-controls-5262"	145.57	104.53
"pos-controls-5263"	126.67	108.5
"pos-controls-5264"	134.3	91.33
"pos-controls-5313"	459.26	494.26
"pos-controls-5314"	360.21	405.16
"pos-controls-5315"	417.63	464.12
"pos-controls-5316"	482.94	448.75
"pos-controls-537"	96.18	115.16
"pos-controls-538"	105.72	159.58
"pos-controls-539"	95.79	134.05
"pos-controls-540"	120.73	144.08
"pos-controls-5401"	172.63	163.84
"pos-controls-5402"	194.8	146.67
"pos-controls-5403"	141.44	101.82
"pos-controls-5404"	127.62	122.71
"pos-controls-541"	104.13	68.57
"pos-controls-542"	93.01	80.01
"pos-controls-543"	96.74	66.74
"pos-controls-544"	97.67	60.05
"pos-controls-5465"	303.16	470.93
"pos-controls-5466"	299.54	300.77
"pos-controls-5467"	316.25	382.52
"pos-controls-5468"	333.96	368.94
"pos-controls-5469"	308.87	203.1
"pos-controls-5470"	397.78	196.21
"pos-controls-5471"	306.92	108.4
"pos-controls-5472"	357.79	130.01
"pos-controls-5481"	330.82	911.27
"pos-controls-5482"	320.34	452.26
"pos-controls-5483"	472.28	840.5
"pos-controls-5484"	569.51	507.46
"pos-controls-5485"	292.21	135.11
"pos-controls-5486"	385.54	110.07
"pos-controls-5487"	397.21	142.23
"pos-controls-5488"	370.97	178.58
"pos-controls-5549"	170.59	223.8
"pos-controls-5550"	164.9	253.53
"pos-controls-5551"	151.63	305.94
"pos-controls-5552"	153.24	238.25
"pos-controls-5565"	233.83	131.76
"pos-controls-5566"	173.97	99.31
"pos-controls-5567"	178.05	107.88
"pos-controls-5568"	170.69	104.24
"pos-controls-5577"	154.85	165.07
"pos-controls-5578"	187.28	153.98
"pos-controls-5579"	166.14	158.96
"pos-controls-5580"	160.21	139.28
"pos-controls-5581"	205.03	189.04
"pos-controls-5582"	199.82	188.73
"pos-controls-5583"	220.85	208.49
"pos-controls-5584"	207.05	182.58
"pos-controls-5613"	267.82	336.76
"pos-controls-5614"	253.53	419.16
"pos-controls-5615"	247.84	331.51
"pos-controls-5616"	335.71	294.54
"pos-controls-5617"	136.39	93.02
"pos-controls-5618"	101.72	88.75
"pos-controls-5619"	114.3	106.25
"pos-controls-5620"	151.98	121.45
"pos-controls-5753"	1404.9	1337.83
"pos-controls-5754"	1252.93	1176.24
"pos-controls-5755"	1329.6	1648.13
"pos-controls-5756"	1210.59	1145.08
"pos-controls-5781"	71.49	80.91
"pos-controls-5782"	81.77	96.73
"pos-controls-5783"	84.1	91.07
"pos-controls-5784"	79.04	87.87
"pos-controls-5785"	49.2	58.27
"pos-controls-5786"	58.05	82.59
"pos-controls-5787"	60.3	85.9
"pos-controls-5788"	67.36	63.83
"pos-controls-5845"	64.76	77.38
"pos-controls-5846"	72.96	72.74
"pos-controls-5847"	58.47	85.34
"pos-controls-5848"	80.19	69.98
"pos-controls-5869"	706.92	192.4
"pos-controls-5870"	641.51	150.14
"pos-controls-5871"	766.73	142.7
"pos-controls-5872"	840.5	430.41
"pos-controls-5925"	149.24	105.65
"pos-controls-5926"	130.33	114.95
"pos-controls-5927"	132.29	135.26
"pos-controls-5928"	143.49	128.75
"pos-controls-5965"	87.08	117.45
"pos-controls-5966"	82.62	101.45
"pos-controls-5967"	78.7	73.89
"pos-controls-5968"	90.19	98.53
"pos-controls-5969"	91.53	137.7
"pos-controls-5970"	83.9	111.77
"pos-controls-5971"	107.98	136.03
"pos-controls-5972"	85.28	123.34
"pos-controls-5993"	179.51	120.65
"pos-controls-5994"	187.43	99.26
"pos-controls-5995"	174.34	104.99
"pos-controls-5996"	165.94	106.83
"pos-controls-5997"	75.86	76.85
"pos-controls-5998"	59.79	72.33
"pos-controls-5999"	88.08	62.75
"pos-controls-6000"	63.45	56.9
"pos-controls-6029"	240.44	211.19
"pos-controls-6030"	241.47	197.27
"pos-controls-6031"	280.63	155.71
"pos-controls-6032"	206.45	209.99
"pos-controls-6097"	223.37	232.59
"pos-controls-6098"	200.9	239.18
"pos-controls-6099"	210.37	194.89
"pos-controls-6100"	252.74	344.56
"pos-controls-6109"	61.47	55.83
"pos-controls-6110"	57.03	58.79
"pos-controls-6111"	65.42	54.31
"pos-controls-6112"	256.48	72.53
"pos-controls-613"	139.91	123.9
"pos-controls-614"	97.41	124.48
"pos-controls-6149"	454.04	300.45
"pos-controls-615"	101.2	130.25
"pos-controls-6150"	526.71	437.37
"pos-controls-6151"	351.41	244.03
"pos-controls-6152"	390.11	232.33
"pos-controls-616"	104.53	139.39
"pos-controls-6221"	109.83	119.22
"pos-controls-6222"	155.35	194.72
"pos-controls-6223"	128.22	218.3
"pos-controls-6224"	113.6	174.93
"pos-controls-6225"	147.5	249.24
"pos-controls-6226"	165.35	343.35
"pos-controls-6227"	144.45	330.82
"pos-controls-6228"	147.11	213.5
"pos-controls-6249"	106.88	167.69
"pos-controls-6250"	122.07	166.05
"pos-controls-6251"	132.5	227.28
"pos-controls-6252"	108.59	182.19
"pos-controls-6273"	92.36	141.64
"pos-controls-6274"	87.3	130.48
"pos-controls-6275"	87.61	147.01
"pos-controls-6276"	111.16	129.12
"pos-controls-6333"	343.35	202.85
"pos-controls-6334"	475.7	314.83
"pos-controls-6335"	469.67	289.65
"pos-controls-6336"	363.35	277.76
"pos-controls-6341"	110.75	102.61
"pos-controls-6342"	116.07	142.39
"pos-controls-6343"	200.12	97.46
"pos-controls-6344"	94.92	104.61
"pos-controls-6345"	211.66	209.35
"pos-controls-6346"	162.86	161.02
"pos-controls-6347"	226.34	203.3
"pos-controls-6348"	221.04	167.82
"pos-controls-6457"	86.89	115.73
"pos-controls-6458"	99.28	156.38
"pos-controls-6459"	83.06	117.53
"pos-controls-6460"	91.53	117.23
"pos-controls-6461"	67.78	64.27
"pos-controls-6462"	62.83	53.38
"pos-controls-6463"	72.63	67.89
"pos-controls-6464"	78.12	73.19
"pos-controls-6465"	118.92	143.35
"pos-controls-6466"	126.24	148.23
"pos-controls-6467"	122.37	141.77
"pos-controls-6468"	121.37	150.88
"pos-controls-6469"	103.72	95.56
"pos-controls-6470"	100.15	98.88
"pos-controls-6471"	106.77	144.69
"pos-controls-6472"	88.55	95.46
"pos-controls-6509"	106.67	121.87
"pos-controls-6510"	105.39	100.21
"pos-controls-6511"	89.89	123.12
"pos-controls-6512"	79.34	107.21
"pos-controls-6529"	84.33	68.93
"pos-controls-6530"	79.51	60.96
"pos-controls-6531"	93.25	70.35
"pos-controls-6532"	77.34	75.2
"pos-controls-705"	167.96	121.45
"pos-controls-706"	168.29	91.9
"pos-controls-707"	145.57	101.26
"pos-controls-708"	162.28	102.15
"pos-controls-773"	209.58	406.31
"pos-controls-774"	338.89	356.8
"pos-controls-775"	426.94	469.67
"pos-controls-776"	540.13	654.58
"pos-controls-777"	361.57	381.21
"pos-controls-778"	366.42	419.87
"pos-controls-779"	269.23	353.91
"pos-controls-780"	552.81	577.65
"pos-controls-813"	121.26	228.11
"pos-controls-814"	85.69	69.76
"pos-controls-815"	65.72	74.39
"pos-controls-816"	82.01	71.83
"pos-controls-829"	456.79	187.28
"pos-controls-830"	293.95	154.85
"pos-controls-831"	279.9	149.35
"pos-controls-832"	273.71	164.49
"pos-controls-893"	64	60.37
"pos-controls-894"	64.22	81.25
"pos-controls-895"	78.66	78.87
"pos-controls-896"	70.16	71.61
"pos-controls-949"	134.88	125.61
"pos-controls-950"	98.47	122.65
"pos-controls-951"	116.88	132.29
"pos-controls-952"	106.27	122.55
"pos-controls-953"	102.36	96.8
"pos-controls-954"	138.24	94.27
"pos-controls-955"	94.16	83.72
"pos-controls-956"	83.24	94.74
"tcruzi-1000738"	80.68	88.6
"tcruzi-1001695"	218.55	140.27
"tcruzi-1001711"	112.99	85.51
"tcruzi-100230"	124.97	145.85
"tcruzi-1004100"	80.01	116.73
"tcruzi-100430"	92.88	65.55
"tcruzi-1005046"	79.1	75.23
"tcruzi-1005067"	90.89	81.34
"tcruzi-1005305"	116.82	71.28
"tcruzi-1005482"	634.24	168.56
"tcruzi-1007326"	71.04	60.56
"tcruzi-1007826"	60.83	57.61
"tcruzi-1007853"	75.31	79.84
"tcruzi-1008370"	57.74	55.43
"tcruzi-100869"	827.51	934.31
"tcruzi-1010241"	342	141.34
"tcruzi-1010971"	300.77	111.96
"tcruzi-101139"	82.76	91.3
"tcruzi-1011528"	794.75	794.75
"tcruzi-1014035"	66.28	110.72
"tcruzi-1014467"	89.99	117.36
"tcruzi-1014513"	74.94	65.28
"tcruzi-1016586"	60.47	56.39
"tcruzi-1017121"	259.9	180.08
"tcruzi-1017825"	54.72	58.53
"tcruzi-1019097"	190.17	105.08
"tcruzi-1020644"	348.75	266.78
"tcruzi-102076"	345.52	508.79
"tcruzi-1022489"	153.24	93.9
"tcruzi-1023491"	90.96	69.45
"tcruzi-1023539"	116.12	83.65
"tcruzi-1024789"	214.08	124.48
"tcruzi-1025150"	288.66	101.1
"tcruzi-1025367"	181.48	133.73
"tcruzi-1025720"	157.34	118.08
"tcruzi-1025721"	138.51	66.64
"tcruzi-1026307"	4119.55	3572.73
"tcruzi-1026309"	1551.07	132.94
"tcruzi-1026310"	962.47	119.16
"tcruzi-1026311"	3820.77	3820.77
"tcruzi-1026312"	547.46	97.59
"tcruzi-1026317"	393.15	167.96
"tcruzi-1027797"	81.69	63.5
"tcruzi-1028387"	92.08	109.14
"tcruzi-1028589"	95.52	131.32
"tcruzi-1028592"	189.35	111.22
"tcruzi-1028593"	156.11	102.21
"tcruzi-1028596"	215.39	175.78
"tcruzi-102951"	4691.48	2486.84
"tcruzi-1029730"	14372.89	20053.34
"tcruzi-102996"	38.62	42.53
"tcruzi-1030119"	11884.43	344
"tcruzi-1030161"	68.17	83.08
"tcruzi-1031344"	146.94	135.42
"tcruzi-1032192"	155.71	152.82
"tcruzi-1032967"	137.15	105.14
"tcruzi-1034083"	174.69	85.13
"tcruzi-1035077"	57.32	76.06
"tcruzi-1035078"	98.4	162.06
"tcruzi-1035080"	80.84	89.2
"tcruzi-1035095"	48.37	52.47
"tcruzi-1035330"	69.83	92.76
"tcruzi-1035452"	58.14	67.48
"tcruzi-1035831"	431.32	201.07
"tcruzi-1036424"	75.49	86
"tcruzi-1036899"	144.98	88.29
"tcruzi-1037510"	108.93	68.3
"tcruzi-1038739"	108.25	64.12
"tcruzi-1039442"	68.43	72.94
"tcruzi-1039443"	114.71	111.04
"tcruzi-1040693"	168.8	86.72
"tcruzi-1040731"	230.33	171.29
"tcruzi-1041302"	105.14	85.46
"tcruzi-1041708"	218.78	322.98
"tcruzi-1041867"	117.33	77.23
"tcruzi-1042509"	67.9	122.17
"tcruzi-1043101"	1528.52	131.92
"tcruzi-1043105"	408.54	68.17
"tcruzi-1043430"	108.4	132.83
"tcruzi-1043597"	94.71	116.6
"tcruzi-104363"	941.46	966.31
"tcruzi-1045857"	177.58	80.63
"tcruzi-1047130"	141.15	76.51
"tcruzi-1047131"	158.87	110.91
"tcruzi-1047216"	107.37	78.13
"tcruzi-1048656"	75.89	70.88
"tcruzi-104933"	102.36	132.16
"tcruzi-1049456"	405.16	81.54
"tcruzi-1049457"	370.28	126.62
"tcruzi-1049459"	329.63	79.06
"tcruzi-1049460"	185.09	75.16
"tcruzi-1049681"	83.4	105.25
"tcruzi-1050192"	1271.5	1827.13
"tcruzi-1051382"	97.87	80.5
"tcruzi-1051383"	95.47	86.26
"tcruzi-1052163"	494.26	129.3
