"Reporter Name"	"CO_NE_normalizedData_r1"	"CO_NE_normalizedData_r2"
"pos-controls-5261"	94.34	90.65
"pos-controls-5262"	86.97	107.68
"pos-controls-5263"	91.13	84.15
"pos-controls-5264"	79.48	67.66
"pos-controls-5313"	383.34	490.58
"pos-controls-5314"	381.96	871.67
"pos-controls-5315"	390.11	525.53
"pos-controls-5316"	344.95	461.3
"pos-controls-537"	117.48	87.31
"pos-controls-538"	169.01	110.17
"pos-controls-539"	88.42	92.32
"pos-controls-540"	104.01	237.05
"pos-controls-5401"	107.86	188.21
"pos-controls-5402"	393.15	704.98
"pos-controls-5403"	121.87	147.11
"pos-controls-5404"	133.16	223.8
"pos-controls-541"	115.34	91.13
"pos-controls-542"	99.84	93.9
"pos-controls-543"	109.99	119.26
"pos-controls-544"	100.81	85.94
"pos-controls-5465"	214.63	219.26
"pos-controls-5466"	181.31	162.69
"pos-controls-5467"	200.69	220.25
"pos-controls-5468"	303.98	209.35
"pos-controls-5469"	223.37	115.93
"pos-controls-5470"	261.98	147.01
"pos-controls-5471"	243.71	120.45
"pos-controls-5472"	263.52	98.57
"pos-controls-5481"	130.7	144
"pos-controls-5482"	136.2	145.96
"pos-controls-5483"	127.15	166.88
"pos-controls-5484"	114.13	171.38
"pos-controls-5485"	148.77	95.29
"pos-controls-5486"	138.56	99.55
"pos-controls-5487"	150.14	106.37
"pos-controls-5488"	142.14	112.47
"pos-controls-5549"	141.15	235.72
"pos-controls-5550"	143.57	175.41
"pos-controls-5551"	105.41	200.33
"pos-controls-5552"	134.3	188.36
"pos-controls-5565"	230.75	118.52
"pos-controls-5566"	166.34	127.01
"pos-controls-5567"	181.73	112.81
"pos-controls-5568"	212.25	133.59
"pos-controls-5577"	153.98	169.43
"pos-controls-5578"	151.98	234.84
"pos-controls-5579"	175.97	240.44
"pos-controls-5580"	160.64	209.99
"pos-controls-5581"	194.89	243.21
"pos-controls-5582"	226.84	224.79
"pos-controls-5583"	212.4	248.04
"pos-controls-5584"	207.69	267.82
"pos-controls-5613"	117.62	124.55
"pos-controls-5614"	187.28	388.42
"pos-controls-5615"	126.57	134.27
"pos-controls-5616"	111.49	114.81
"pos-controls-5617"	149.35	128.32
"pos-controls-5618"	120.52	94.56
"pos-controls-5619"	97.81	89.67
"pos-controls-5620"	128.86	77.23
"pos-controls-5753"	231.85	161.74
"pos-controls-5754"	312.24	189.35
"pos-controls-5755"	311.23	221.38
"pos-controls-5756"	298.82	196.34
"pos-controls-5781"	82.17	68.1
"pos-controls-5782"	127.36	72.21
"pos-controls-5783"	85.34	82.41
"pos-controls-5784"	99.66	275.45
"pos-controls-5785"	69.76	60.44
"pos-controls-5786"	62.99	55.19
"pos-controls-5787"	68.73	62.47
"pos-controls-5788"	75.82	63.96
"pos-controls-5845"	83.7	65.97
"pos-controls-5846"	71.15	96.28
"pos-controls-5847"	110.95	102.52
"pos-controls-5848"	58.3	51.74
"pos-controls-5869"	197.27	166.24
"pos-controls-5870"	146.78	68.25
"pos-controls-5871"	159.01	71.71
"pos-controls-5872"	172.96	70.75
"pos-controls-5925"	113.44	107.26
"pos-controls-5926"	110.58	123.84
"pos-controls-5927"	104.36	128.94
"pos-controls-5928"	144.78	146.48
"pos-controls-5965"	62.2	103.96
"pos-controls-5966"	61.11	76.94
"pos-controls-5967"	93.3	109.33
"pos-controls-5968"	58.57	76.43
"pos-controls-5969"	155.77	91.74
"pos-controls-5970"	63.75	101.34
"pos-controls-5971"	59.31	94.08
"pos-controls-5972"	62.86	96.54
"pos-controls-5993"	191.26	126.03
"pos-controls-5994"	170.83	189.9
"pos-controls-5995"	214.08	124.62
"pos-controls-5996"	169.55	136.53
"pos-controls-5997"	108.68	93.35
"pos-controls-5998"	73.19	65.54
"pos-controls-5999"	60.45	58.39
"pos-controls-6000"	78.66	64.12
"pos-controls-6029"	225.65	350.74
"pos-controls-6030"	195.46	212.25
"pos-controls-6031"	224.24	214.2
"pos-controls-6032"	222.52	253
"pos-controls-6097"	124.78	152.92
"pos-controls-6098"	160.49	186.39
"pos-controls-6099"	139.78	138.24
"pos-controls-6100"	157.53	171.83
"pos-controls-6109"	64.27	109.58
"pos-controls-6110"	57	69.01
"pos-controls-6111"	72.57	64.3
