"Reporter Name"	"LE_NE_normalizedData_r1"	"LE_NE_normalizedData_r2"
"pos-controls-4208"	284.48	255.12
"pos-controls-4209"	77.73	2918.4
"pos-controls-4210"	88.77	74.37
"pos-controls-4211"	88.92	86.77
"pos-controls-4212"	89.15	107.12
"pos-controls-4213"	70.27	73.87
"pos-controls-4214"	85.34	83.01
"pos-controls-4215"	87.84	81.17
"pos-controls-4216"	91.41	86.94
"pos-controls-4229"	189.28	155.54
"pos-controls-4230"	205.14	157.12
"pos-controls-4231"	204.47	189.66
"pos-controls-4232"	185.09	205.03
"pos-controls-4281"	211.66	206.85
"pos-controls-4282"	222.52	267.82
"pos-controls-4283"	197.27	193.04
"pos-controls-4284"	229.17	256.48
"pos-controls-4289"	78.64	81.09
"pos-controls-4290"	85.67	79.58
"pos-controls-4291"	82.72	75.04
"pos-controls-4292"	87.5	91.9
"pos-controls-4293"	103.86	119.09
"pos-controls-4294"	122.77	118.83
"pos-controls-4295"	102.02	140.55
"pos-controls-4296"	117.82	137.82
"pos-controls-4301"	181.73	203.82
"pos-controls-4302"	155.71	202.64
"pos-controls-4303"	156.6	196.51
"pos-controls-4304"	180.2	200.5
"pos-controls-4349"	2520	1476.19
"pos-controls-4350"	2672.6	1842.78
"pos-controls-4351"	2186.31	1811.05
"pos-controls-4352"	1952.13	2380.84
"pos-controls-4353"	1991.2	2083.01
"pos-controls-4354"	2031.28	2520
"pos-controls-4355"	1913.24	2031.28
"pos-controls-4356"	2253.43	1313.2
"pos-controls-4385"	77.12	69.87
"pos-controls-4386"	78.41	71.2
"pos-controls-4387"	72.33	70.06
"pos-controls-4388"	74.37	79.34
"pos-controls-4401"	331.99	356.8
"pos-controls-4402"	365.19	348.33
"pos-controls-4403"	383.91	365.97
"pos-controls-4404"	341.45	333.96
"pos-controls-4449"	113.24	109.24
"pos-controls-4450"	103.44	106.27
"pos-controls-4451"	115.23	105.32
"pos-controls-4452"	114.48	156.74
"pos-controls-4609"	62.43	77.7
"pos-controls-4610"	75.67	67.72
"pos-controls-4611"	77.7	71.8
"pos-controls-4612"	67.38	75.75
"pos-controls-4621"	83.24	80.04
"pos-controls-4622"	74.1	56.28
"pos-controls-4623"	69.72	67.9
"pos-controls-4624"	72.94	56.55
"pos-controls-4729"	127.21	135.88
"pos-controls-4730"	122.07	111.32
"pos-controls-4731"	122.46	114.24
"pos-controls-4732"	141.15	132.5
"pos-controls-4757"	134.5	175.85
"pos-controls-4758"	120.16	179.67
"pos-controls-4759"	145.65	167
"pos-controls-4760"	179.3	235.45
"pos-controls-4781"	72.06	70.9
"pos-controls-4782"	82.76	73.69
"pos-controls-4783"	66.03	74.45
"pos-controls-4784"	80.95	57
"pos-controls-4793"	104.99	108.21
"pos-controls-4794"	99.59	119.45
"pos-controls-4795"	109.01	90.45
"pos-controls-4796"	114.68	102.12
"pos-controls-4797"	121.62	113.93
"pos-controls-4798"	122.96	104.17
"pos-controls-4799"	99.89	118.6
"pos-controls-4800"	92.3	100.81
"pos-controls-4825"	232.11	216.81
"pos-controls-4826"	242.99	172.96
"pos-controls-4827"	212.89	200.33
"pos-controls-4828"	283.98	261.05
"pos-controls-4845"	89.08	113.85
"pos-controls-4846"	101.2	119.22
"pos-controls-4847"	104.01	103.63
"pos-controls-4848"	88.39	86.84
"pos-controls-4849"	69.49	72.74
"pos-controls-4850"	71.63	83.3
"pos-controls-4851"	71.46	66.96
"pos-controls-4852"	64.86	68.4
"pos-controls-4861"	90.19	82.12
"pos-controls-4862"	93.01	87.85
"pos-controls-4863"	89.45	89.15
"pos-controls-4864"	84.57	91.66
"pos-controls-4865"	113.35	112.52
"pos-controls-4866"	104.46	121.37
"pos-controls-4867"	125.75	115.03
"pos-controls-4868"	121.37	127.29
"pos-controls-4885"	174.74	130.2
"pos-controls-4886"	140.82	139.06
"pos-controls-4887"	174.51	138.4
"pos-controls-4888"	199.96	123.73
"pos-controls-4893"	70.09	77.87
"pos-controls-4894"	67.18	82.12
"pos-controls-4895"	78.97	66.23
"pos-controls-4896"	64.56	63.42
"pos-controls-4897"	67.56	69.62
"pos-controls-4898"	63.02	70.23
"pos-controls-4899"	71.75	69.54
"pos-controls-4900"	63.92	66.07
"pos-controls-4917"	69.79	82.76
"pos-controls-4918"	80.71	89.31
"pos-controls-4919"	91.38	77.12
"pos-controls-4920"	73.17	75.86
"pos-controls-4921"	79.78	78.81
"pos-controls-4922"	77.77	71.35
"pos-controls-4923"	81.32	80.68
"pos-controls-4924"	64.5	78.39
"pos-controls-4925"	116.12	98.15
"pos-controls-4926"	106.04	95.85
"pos-controls-4927"	110.12	102.89
"pos-controls-4928"	97.41	96.88
"pos-controls-4929"	154.55	148.77
"pos-controls-4930"	159.58	150.77
"pos-controls-4931"	167.96	186.19
"pos-controls-4932"	151.54	141.34
"pos-controls-4949"	95.49	80.75
"pos-controls-4950"	105.43	102.68
"pos-controls-4951"	88.44	103.59
"pos-controls-4952"	93.04	107.44
"pos-controls-4953"	92.76	86.01
"pos-controls-4954"	88.96	113.53
"pos-controls-4955"	82.41	109.95
"pos-controls-4956"	127.01	136.39
"pos-controls-5049"	103.78	114.36
"pos-controls-5050"	109.91	111.38
"pos-controls-5051"	120.45	103.72
"pos-controls-5052"	125.3	106.77
"pos-controls-5057"	67.03	84.25
"pos-controls-5058"	65.45	63.22
"pos-controls-5059"	61.6	68.43
"pos-controls-5060"	83.97	66.17
"pos-controls-5089"	122.34	146.67
"pos-controls-5090"	120.73	133.73
"pos-controls-5091"	132.37	155.39
"pos-controls-5092"	140.73	138.97
"pos-controls-5101"	124.24	149.14
"pos-controls-5102"	122.71	117.31
"pos-controls-5103"	149.14	117.82
"pos-controls-5104"	133.54	127.21
"pos-controls-5149"	123.27	136.27
"pos-controls-5150"	129.21	132.7
"pos-controls-5151"	145.96	148.12
"pos-controls-5152"	123.56	116.07
"pos-controls-5257"	153.98	166.34
"pos-controls-5258"	173.88	163.4
"pos-controls-5259"	161.61	156.28
"pos-controls-5260"	155.91	136.17
"pos-controls-5261"	1615.92	1759.18
"pos-controls-5262"	1463.91	1913.24
"pos-controls-5263"	782.85	1606.43
"pos-controls-5264"	1086.67	1634.44
"pos-controls-5313"	112.14	136.03
"pos-controls-5314"	129.72	165.35
"pos-controls-5315"	138.61	169.01
"pos-controls-5316"	140.27	128.82
"pos-controls-537"	240.82	256.14
"pos-controls-538"	246.5	196.75
"pos-controls-539"	198.2	165.66
"pos-controls-540"	241.47	253.53
"pos-controls-5401"	166.43	149.44
"pos-controls-5402"	175.32	165.82
"pos-controls-5403"	180.08	147.42
"pos-controls-5404"	158.87	141.22
"pos-controls-541"	477.96	462.39
"pos-controls-542"	302.57	407.25
"pos-controls-543"	470.93	316.25
"pos-controls-544"	366.42	307.55
"pos-controls-5465"	203.3	202.48
"pos-controls-5466"	191.4	189.21
"pos-controls-5467"	199.66	229.71
"pos-controls-5468"	205.03	197.12
"pos-controls-5469"	511.67	521.72
"pos-controls-5470"	510.21	498.16
"pos-controls-5471"	671.91	648.18
"pos-controls-5472"	772.35	652.82
"pos-controls-5481"	262.15	271.45
"pos-controls-5482"	295.79	266.25
"pos-controls-5483"	268.41	273.71
"pos-controls-5484"	270.77	294.54
"pos-controls-5485"	508.79	574.66
"pos-controls-5486"	523.42	491.87
"pos-controls-5487"	538.82	656.62
"pos-controls-5488"	554.76	564.68
"pos-controls-5549"	231.36	360.21
"pos-controls-5550"	266.25	222.09
"pos-controls-5551"	250.78	228.11
"pos-controls-5552"	236.79	250.78
"pos-controls-5565"	320.34	339.25
"pos-controls-5566"	407.25	258.91
"pos-controls-5567"	259.63	252.74
"pos-controls-5568"	327.73	258.05
"pos-controls-5577"	116.44	140.92
"pos-controls-5578"	121.09	122.96
"pos-controls-5579"	121.04	120.33
"pos-controls-5580"	119.22	122.55
"pos-controls-5581"	150.88	130.75
"pos-controls-5582"	137.32	162.45
"pos-controls-5583"	146.18	161.91
"pos-controls-5584"	168.29	134.07
"pos-controls-5613"	352.54	350.01
"pos-controls-5614"	347.83	348.75
"pos-controls-5615"	367.33	264.12
"pos-controls-5616"	316.69	317.57
"pos-controls-5617"	307.55	347.83
"pos-controls-5618"	333.24	323.88
"pos-controls-5619"	298.21	316.69
"pos-controls-5620"	303.16	336.18
"pos-controls-5753"	165.07	132.77
"pos-controls-5754"	136.74	175.22
"pos-controls-5755"	165.82	170.44
"pos-controls-5756"	145.42	157.21
"pos-controls-5781"	76.14	91.18
"pos-controls-5782"	103.2	64.56
"pos-controls-5783"	79.64	84.39
"pos-controls-5784"	81.49	77.77
"pos-controls-5785"	59.68	57.71
"pos-controls-5786"	65.1	65.1
"pos-controls-5787"	75.91	55.53
