"Reporter Name"	"MX_PO_normalizedData_r1"	"MX_PO_normalizedData_r2"
"pos-controls-4282"	17855.89	24474.33
"pos-controls-4283"	16998.69	25500.52
"pos-controls-4284"	15562.39	28277.02
"pos-controls-4289"	248.43	133.65
"pos-controls-4290"	136.62	164.88
"pos-controls-4291"	155.09	145.57
"pos-controls-4292"	176.64	167.9
"pos-controls-4293"	234.31	212.92
"pos-controls-4294"	232.41	223.96
"pos-controls-4295"	255.47	235.44
"pos-controls-4296"	218.13	214.1
"pos-controls-4301"	9365.34	13405.49
"pos-controls-4302"	8377.29	11261.19
"pos-controls-4303"	7630.29	11332.39
"pos-controls-4304"	7845.11	11823.48
"pos-controls-4349"	18938.33	32484.07
"pos-controls-4350"	18095.26	13591.59
"pos-controls-4351"	20783.63	14498.23
"pos-controls-4352"	20604.89	19543.6
"pos-controls-4353"	43502.93	27335.25
"pos-controls-4354"	40674.55	28776.08
"pos-controls-4355"	43041.6	23136.86
"pos-controls-4356"	38606.08	22102.13
"pos-controls-4385"	173.29	186.34
"pos-controls-4386"	223.32	163.2
"pos-controls-4387"	174.36	177.62
"pos-controls-4388"	134.53	146.26
"pos-controls-4401"	26146.52	25835.59
"pos-controls-4402"	25835.59	29908.39
"pos-controls-4403"	28357.88	32524.15
"pos-controls-4404"	19543.6	24767.73
"pos-controls-4449"	18178.6	30741.82
"pos-controls-4450"	21477.72	34116.71
"pos-controls-4451"	26913.37	33342.12
"pos-controls-4452"	29407.38	31680.71
"pos-controls-4609"	11403.56	14431.31
"pos-controls-4610"	9805.58	13770.17
"pos-controls-4611"	9944.39	13629.13
"pos-controls-4612"	10988.57	14556.34
"pos-controls-4621"	99.2	142.64
"pos-controls-4622"	84.89	77.86
"pos-controls-4623"	149.27	165.42
"pos-controls-4624"	74.36	137.16
"pos-controls-4729"	11593.62	15468.02
"pos-controls-4730"	10526.19	16040.77
"pos-controls-4731"	12170.18	17531.44
"pos-controls-4732"	11446.46	15631.07
"pos-controls-4757"	79.86	146.7
"pos-controls-4758"	90.46	80.09
"pos-controls-4759"	90.2	110.77
"pos-controls-4760"	80.75	115.24
"pos-controls-4781"	70.44	128.09
"pos-controls-4782"	95.89	112.72
"pos-controls-4783"	107.8	74.36
"pos-controls-4784"	111.94	79.93
"pos-controls-4793"	12225.49	15421.72
"pos-controls-4794"	14812.39	20274.42
"pos-controls-4795"	14183.84	19791.38
"pos-controls-4796"	14036.03	17457.78
"pos-controls-4797"	141.22	163.66
"pos-controls-4798"	173.19	113.8
"pos-controls-4799"	106.55	164.17
"pos-controls-4800"	153.7	149.8
"pos-controls-4825"	34218.68	38337.1
"pos-controls-4826"	29842.49	35318.96
"pos-controls-4827"	32004.95	38898.06
"pos-controls-4828"	33544.38	38195.89
"pos-controls-4845"	184.35	163.81
"pos-controls-4846"	120.46	107.32
"pos-controls-4847"	110.69	110.64
"pos-controls-4848"	138.46	85.02
"pos-controls-4849"	103.13	75.25
"pos-controls-4850"	79.68	99.89
"pos-controls-4851"	96.26	104.74
"pos-controls-4852"	115.24	104.12
"pos-controls-4861"	140.96	150.98
"pos-controls-4862"	164.71	128.48
"pos-controls-4863"	166.58	154.89
"pos-controls-4864"	121.17	176.34
"pos-controls-4865"	192.3	180.88
"pos-controls-4866"	189.96	202.94
"pos-controls-4867"	225.08	201.26
"pos-controls-4868"	189.27	190.44
"pos-controls-4885"	321.52	507.63
"pos-controls-4886"	341.29	481.77
"pos-controls-4887"	421.27	572.32
"pos-controls-4888"	374.86	488.84
"pos-controls-4893"	112.5	139.78
"pos-controls-4894"	195.61	187.45
"pos-controls-4895"	114.11	81.69
"pos-controls-4896"	121.85	98.17
"pos-controls-4897"	78.54	100.94
"pos-controls-4898"	133.1	78.71
