"Reporter.Name"	"allData.replica1"	"allData.replica2"
"21020"	"tcruzi-11150"	8631.66	3294.74
"21021"	"tcruzi-11151"	16992.03	10641.53
"21170"	"tcruzi-11300"	5874.72	3020.93
"21177"	"tcruzi-11307"	7102.52	2563.52
"21598"	"tcruzi-11728"	2256.82	813.74
"21626"	"tcruzi-11756"	27845.35	19720.02
"21746"	"tcruzi-11876"	12875.13	6975.73
"21834"	"tcruzi-11964"	2640.14	1279.47
"22662"	"tcruzi-12792"	3520.33	2816.91
"22664"	"tcruzi-12794"	3861.14	2168.78
"22698"	"tcruzi-12828"	715.72	332.42
"22699"	"tcruzi-12829"	1087.93	435.02
"22908"	"tcruzi-13038"	1374.53	364.23
"22930"	"tcruzi-13060"	5598.17	3912.48
"22933"	"tcruzi-13063"	9846.72	6022.95
"22935"	"tcruzi-13065"	11661.89	8805.33
"22943"	"tcruzi-13073"	18964.6	16398.97
"23316"	"tcruzi-13446"	11606.68	8127.8
"23472"	"tcruzi-13602"	1093.85	254.6
"23473"	"tcruzi-13603"	757.54	128.4
"23540"	"tcruzi-13670"	4316.1	1234.72
"23607"	"tcruzi-13737"	914.7	626.8
"23682"	"tcruzi-13812"	4045.8	2024.02
"23824"	"tcruzi-13954"	690.4	322.03
"23826"	"tcruzi-13956"	737.58	1328.65
"23896"	"tcruzi-14026"	1464.64	394.81
"23897"	"tcruzi-14027"	1372.92	416.43
"24311"	"tcruzi-14441"	11766.92	11083.32
"24605"	"tcruzi-14735"	1708.32	1043.83
"24611"	"tcruzi-14741"	15438.91	12307.57
"24612"	"tcruzi-14742"	22468.3	18176.87
"24755"	"tcruzi-14885"	820.43	521.52
"24756"	"tcruzi-14886"	1940.7	558.24
"24784"	"tcruzi-14914"	19113.1	14921.72
"24785"	"tcruzi-14915"	20471.67	19553.35
"24807"	"tcruzi-14937"	18933.81	18561.17
"24808"	"tcruzi-14938"	23136.84	15913.87
"24809"	"tcruzi-14939"	30107.28	22572.61
"24810"	"tcruzi-14940"	22076.61	18356.14
"24811"	"tcruzi-14941"	22828.83	19967.62
"24812"	"tcruzi-14942"	19590.16	9093.22
"24813"	"tcruzi-14943"	7974.88	7757.71
"24824"	"tcruzi-14954"	3856.25	1070.37
"24934"	"tcruzi-15064"	1639.7	382.8
"24935"	"tcruzi-15065"	966.01	272.58
"24964"	"tcruzi-15094"	765.68	412.25
"25000"	"tcruzi-15130"	16681.22	12451.97
"25001"	"tcruzi-15131"	23721.32	16887.43
"25002"	"tcruzi-15132"	4263.81	3472.58
"25048"	"tcruzi-15178"	593.14	493.73
"25090"	"tcruzi-15220"	16924.85	11482.48
"25405"	"tcruzi-15535"	516.28	306.22
"25546"	"tcruzi-15676"	787.47	322.63
"25666"	"tcruzi-15796"	1418.75	729.63
"25827"	"tcruzi-15957"	3876.49	1781.71
"25989"	"tcruzi-16119"	417.38	459.05
"25990"	"tcruzi-16120"	612.2	509.77
"26169"	"tcruzi-16299"	932.41	674.76
"26536"	"tcruzi-16666"	11072.49	11892.35
"26866"	"tcruzi-16996"	601.38	567.34
"26959"	"tcruzi-17089"	5773.19	6549.96
"26978"	"tcruzi-17108"	4827.11	3399.14
"27043"	"tcruzi-17173"	3748.5	2329.94
"27191"	"tcruzi-17321"	3068.84	2288.98
"27461"	"tcruzi-17591"	11167.78	11395.51
"27556"	"tcruzi-17686"	1481.68	573.77
"28002"	"tcruzi-18132"	1781.14	1228.51
"28003"	"tcruzi-18133"	1240.34	595.11
"28144"	"tcruzi-18274"	408.48	259.03
"28284"	"tcruzi-18414"	1229.23	912.19
"28363"	"tcruzi-18493"	19271.28	12966.04
"28485"	"tcruzi-18615"	769.03	491.06
"28876"	"tcruzi-19006"	20494.62	13417.42
"28877"	"tcruzi-19007"	22531.94	12796.47
"28878"	"tcruzi-19008"	32559.49	17397.31
"28879"	"tcruzi-19009"	22779.55	11409.31
"28883"	"tcruzi-19013"	21867.41	14110
"29113"	"tcruzi-19243"	2740.65	1297.08
"29117"	"tcruzi-19247"	3315.43	1699.03
"29177"	"tcruzi-19307"	589.55	270.97
"29189"	"tcruzi-19319"	890.99	483.65
"29190"	"tcruzi-19320"	383.87	283.43
"29243"	"tcruzi-19373"	815.09	834.41
"29244"	"tcruzi-19374"	1315.29	781.83
"29246"	"tcruzi-19376"	860.46	1066.32
"29247"	"tcruzi-19377"	1092.95	1077.29
"29251"	"tcruzi-19381"	18676.08	12741.17
"29271"	"tcruzi-19401"	1175.4	664.85
"29295"	"tcruzi-19425"	2054.24	1110.61
"29326"	"tcruzi-19456"	815.77	541.95
"29364"	"tcruzi-19494"	410.93	445.67
"29365"	"tcruzi-19495"	299.54	110.3
"29368"	"tcruzi-19498"	285.64	155.87
"29420"	"tcruzi-19550"	339.16	208.22
"29486"	"tcruzi-19616"	18625.12	14881.02
"29643"	"tcruzi-19773"	10990.69	7900.77
"29701"	"tcruzi-19831"	3144.94	2208.11
"29705"	"tcruzi-19835"	2076.3	898.56
"29706"	"tcruzi-19836"	3850.71	2920.45
"29731"	"tcruzi-19861"	21709.55	16336.79
"29783"	"tcruzi-19913"	61283.95	35639.76
"29784"	"tcruzi-19914"	55004.93	33818.43
"29847"	"tcruzi-19977"	3907.31	1299.37
"29851"	"tcruzi-19981"	4889.28	2479.79
"29852"	"tcruzi-19982"	2829.94	1303.86
"29916"	"tcruzi-20046"	1523.41	423.24
"30015"	"tcruzi-20145"	1089.8	714
"30021"	"tcruzi-20151"	1786.48	840.61
"30071"	"tcruzi-20201"	1185.11	1113.32
"30087"	"tcruzi-20217"	1632.88	1342.04
"30174"	"tcruzi-20304"	28568.46	23060
"30175"	"tcruzi-20305"	29494.34	21860.05
"30449"	"tcruzi-20579"	845.36	2100.08
"30575"	"tcruzi-20705"	4099.72	1055.97
"30608"	"tcruzi-20738"	9361.63	5261.13
"30637"	"tcruzi-20767"	3047.36	2533.15
"30821"	"tcruzi-20951"	4100.9	2400.61
"30875"	"tcruzi-21005"	371.39	251.58
"30922"	"tcruzi-21052"	390.55	255.37
"31017"	"tcruzi-21147"	278.22	217.98
"31019"	"tcruzi-21149"	470.25	237.73
"31021"	"tcruzi-21151"	983.13	389.34
"31023"	"tcruzi-21153"	765.18	463.93
"31024"	"tcruzi-21154"	1000.61	547.59
"31025"	"tcruzi-21155"	1092.71	316.85
"31028"	"tcruzi-21158"	1106.86	651.56
"31029"	"tcruzi-21159"	416.84	325.9
"31030"	"tcruzi-21160"	1000.27	635.77
"31031"	"tcruzi-21161"	833.6	378.24
"31052"	"tcruzi-21182"	482.37	446.7
"31204"	"tcruzi-21334"	938.23	340.86
"31205"	"tcruzi-21335"	456.38	276.05
"31207"	"tcruzi-21337"	636.65	363.94
"31281"	"tcruzi-21411"	686.17	553.52
"31325"	"tcruzi-21455"	1590.6	449.06
"31376"	"tcruzi-21506"	322.77	157.9
"31425"	"tcruzi-21555"	576.87	389.9
"31533"	"tcruzi-21663"	758.42	391.03
"31538"	"tcruzi-21668"	520.27	192.16
"31539"	"tcruzi-21669"	252.69	156.87
"31540"	"tcruzi-21670"	608.24	586.36
"31541"	"tcruzi-21671"	344.23	212.09
"31542"	"tcruzi-21672"	276.45	141.89
"31543"	"tcruzi-21673"	480.87	115.5
"31544"	"tcruzi-21674"	877.96	422.84
"31561"	"tcruzi-21691"	270.75	357.9
"31610"	"tcruzi-21740"	475.66	149
"31726"	"tcruzi-21856"	8667.48	7903.03
"31740"	"tcruzi-21870"	1980.7	1605.98
"31741"	"tcruzi-21871"	1343.32	466.03
"31775"	"tcruzi-21905"	20502.74	13496.26
"31829"	"tcruzi-21959"	1098.46	299.4
"31900"	"tcruzi-22030"	5408.19	1598.85
"31901"	"tcruzi-22031"	5120.61	1879.31
"32090"	"tcruzi-22220"	6944.52	5643.93
"32459"	"tcruzi-22589"	5159.59	3425.84
"32652"	"tcruzi-22782"	1484.21	1186.06
"32653"	"tcruzi-22783"	3616.47	2457.45
"32709"	"tcruzi-22839"	988.27	567.83
"32711"	"tcruzi-22841"	1171.5	456.89
"32887"	"tcruzi-23017"	233.96	225.28
"33119"	"tcruzi-23249"	16533.13	11851.07
