"Reporter.Name"	"allData.replica1"	"allData.replica2"
"29243"	"tcruzi-19373"	7128.57	1452.46
"29244"	"tcruzi-19374"	8292.6	1771.16
"29246"	"tcruzi-19376"	4901.46	1921.71
"29247"	"tcruzi-19377"	4116.19	581.31
"29251"	"tcruzi-19381"	1100.87	815.84
"29271"	"tcruzi-19401"	689.96	592.13
"29295"	"tcruzi-19425"	298.89	197.69
"29326"	"tcruzi-19456"	221.62	173.81
"29364"	"tcruzi-19494"	1047.14	1303.74
"29365"	"tcruzi-19495"	6741.94	2516.03
"29368"	"tcruzi-19498"	369.51	357.7
"29420"	"tcruzi-19550"	2307.73	2412.41
"29486"	"tcruzi-19616"	777.43	625.87
"29643"	"tcruzi-19773"	225.97	189.98
"29701"	"tcruzi-19831"	6079.29	3916.05
"29705"	"tcruzi-19835"	8426.64	6207.67
"29706"	"tcruzi-19836"	8295.59	4793.12
"29731"	"tcruzi-19861"	2938.2	1954.54
"29783"	"tcruzi-19913"	26761.11	18456.63
"29784"	"tcruzi-19914"	28443.82	19040.93
"29847"	"tcruzi-19977"	101.06	80.31
"29851"	"tcruzi-19981"	940.07	1025.57
"29852"	"tcruzi-19982"	129.89	135.13
"29916"	"tcruzi-20046"	1096.42	807.14
"30015"	"tcruzi-20145"	3930.72	2370
"30021"	"tcruzi-20151"	5878.84	4377.48
"30071"	"tcruzi-20201"	70.59	60.12
"30087"	"tcruzi-20217"	665.56	360.68
"30174"	"tcruzi-20304"	211.98	136.28
"30175"	"tcruzi-20305"	224.79	107.5
"30449"	"tcruzi-20579"	2577.5	1418
"30575"	"tcruzi-20705"	161.17	219.03
"30608"	"tcruzi-20738"	166.57	44.2
"30637"	"tcruzi-20767"	392.75	136.33
"30821"	"tcruzi-20951"	6357.23	4032.58
"30875"	"tcruzi-21005"	71.13	58.2
"30922"	"tcruzi-21052"	101.95	52.95
"31017"	"tcruzi-21147"	1616.88	2363.18
"31019"	"tcruzi-21149"	11424.43	6807.43
"31021"	"tcruzi-21151"	11785.42	7869.59
"31023"	"tcruzi-21153"	13364.82	6985.73
"31024"	"tcruzi-21154"	12437.72	6278.26
